Mechanisms	NNS	mechanism O TermTag
of	IN	of O TermTag
fibrosis	NN	fibrosis O TermTag
in	IN	in O TermTag
coal	NN	coal O TermTag
workers	NNS	worker O TermTag
'	POS	' POS PennPOS
pneumoconiosis	NN	pneumoconiosis O TermTag
.	.	. . NUPOS

Increased	VBN	increase O TermTag
production	NN	production O TermTag
of	IN	of O TermTag
platelet-derived	JJ	platelet-derived O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
,	,	, , NUPOS
insulin-like	JJ	insulin-like O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
type	NN	type O TermTag
I	CD	i crd NUPOS
,	,	, , NUPOS
and	CC	and O TermTag
transforming	NN	transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
beta	NN	beta GENE TermTag
and	CC	and O TermTag
relationship	NN	relationship O TermTag
to	TO	to O TermTag
disease	NN	disease O TermTag
severity	NN	severity O TermTag
.	.	. . NUPOS

To	TO	to O TermTag
identify	VB	identify O TermTag
the	DT	the O TermTag
clinical	JJ	clinical O TermTag
relevance	NN	relevance O TermTag
of	IN	of O TermTag
cytokines	NNS	cytokine O TermTag
involved	VBN	involve O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
development	NN	development O TermTag
of	IN	of O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
observed	VBN	observe O TermTag
in	IN	in O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
coal	NN	coal O TermTag
workers	NNS	worker O TermTag
'	POS	' POS PennPOS
pneumoconiosis	NN	pneumoconiosis O TermTag
(	(	( ( NUPOS
CWP	NN	CWP O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
we	PRP	we O TermTag
investigated	VBD	investigate O TermTag
the	DT	the O TermTag
BAL	NN	bal O TermTag
fluid	NN	fluid O TermTag
contents	NNS	content O TermTag
and	CC	and O TermTag
AM	VBP	be O TermTag
secretions	NNS	secretion O TermTag
of	IN	of O TermTag
three	CD	three O TermTag
mediators	NNS	mediator O TermTag
that	WDT	that O TermTag
modulate	VBP	modulate O TermTag
fibroblast	NN	fibroblast O TermTag
growth	NN	growth O TermTag
:	:	: : NUPOS
platelet-derived	JJ	platelet-derived O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
PDGF	NN	PDGF O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
Type	NN	type O TermTag
I	CD	i crd NUPOS
insulin-like	JJ	insulin-like O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
IGF-I	NN	IGF-I GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and O TermTag
transforming	VBG	transform O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
Type	NN	type O TermTag
beta	NN	beta O TermTag
(	(	( ( NUPOS
