BAL	NN	bal O TermTag
cytokine	NN	cytokine O TermTag
profile	NN	profile O TermTag
in	IN	in O TermTag
different	JJ	different O TermTag
interstitial	JJ	interstitial O TermTag
lung	NN	lung O TermTag
diseases	NNS	disease O TermTag
:	:	: : NUPOS
a	DT	a dt NUPOS
focus	NN	focus O TermTag
on	IN	on O TermTag
systemic	JJ	systemic O TermTag
sclerosis	NN	sclerosis O TermTag
.	.	. . NUPOS

BACKGROUND	NN	background O TermTag
AND	CC	and O TermTag
AIM	NN	aim O TermTag
:	:	: : NUPOS
Fibrosing	NN	Fibrosing O TermTag
alveolitis	NN	alveolitis O TermTag
develops	VBZ	develop O TermTag
in	IN	in O TermTag
up	RB	up O TermTag
to	TO	to O TermTag
80	CD	80 O TermTag
%	NN	% NN PennPOS
of	IN	of O TermTag
systemic	JJ	systemic O TermTag
sclerosis	NN	sclerosis O TermTag
patients	NNS	patient O TermTag
(	(	( ( NUPOS
SSc	NN	ssc O TermTag
)	)	) ) NUPOS
but	CC	but O TermTag
progression	NN	progression O TermTag
to	TO	to O TermTag
end	VB	end O TermTag
stage	NN	stage O TermTag
fibrosis	NN	fibrosis O TermTag
occurs	VBZ	occur O TermTag
in	IN	in O TermTag
about	RB	about O TermTag
15	CD	15 O TermTag
%	NN	% NN PennPOS
of	IN	of O TermTag
cases	NNS	case O TermTag
.	.	. . NUPOS

Mechanisms	NNS	mechanism O TermTag
leading	VBG	lead O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
process	NN	process O TermTag
remain	VBP	remain O TermTag
mostly	RB	most O TermTag
unknown	JJ	unknown O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
compared	VBD	compare O TermTag
cytokine	NN	cytokine O TermTag
profiles	NNS	profile O TermTag
of	IN	of O TermTag
broncho-alveolar	JJ	broncho-alveolar O TermTag
lavage	NN	lavage O TermTag
fluids	NNS	fluid O TermTag
(	(	( ( NUPOS
BAL-f	NN	BAL-f O TermTag
)	)	) ) NUPOS
from	IN	from O TermTag
