Type	NN	type O TermTag
V	NN	v NN PennPOS
collagen	NN	collagen O TermTag
induced	VBD	induce O TermTag
tolerance	NN	tolerance O TermTag
suppresses	VBZ	suppress O TermTag
collagen	NN	collagen O TermTag
deposition	NN	deposition O TermTag
,	,	, , NUPOS
TGF-b	NN	TGF-b GENE TermTag
and	CC	and O TermTag
associated	VBN	associate O TermTag
transcripts	NNS	transcript O TermTag
in	IN	in O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

RATIONALE	NN	rationale O TermTag
:	:	: : NUPOS
Idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
fatal	JJ	fatal O TermTag
interstitial	JJ	interstitial O TermTag
lung	NN	lung O TermTag
disease	NN	disease O TermTag
characterized	VBN	characterize O TermTag
by	IN	by O TermTag
progressive	JJ	progressive O TermTag
scarring	NN	scarring O TermTag
and	CC	and O TermTag
matrix	NN	matrix O TermTag
deposition	NN	deposition O TermTag
.	.	. . NUPOS

Recent	JJ	recent O TermTag
reports	NNS	report O TermTag
highlight	VBP	highlight O TermTag
an	DT	a O TermTag
autoimmune	JJ	autoimmune O TermTag
component	NN	component O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
pathogenesis	NN	pathogenesis O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
have	VBP	have O TermTag
reported	VBN	report O TermTag
anti-col	JJ	anti-col O TermTag
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
immunity	NN	immunity O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
patients	NNS	patient O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
objective	NN	objective O TermTag
of	IN	of O TermTag
our	PRP$	our O TermTag
study	NN	study O TermTag
was	VBD	be O TermTag
to	TO	to O TermTag
determine	VB	determine O TermTag
the	DT	the O TermTag
specificity	NN	specificity O TermTag
of	IN	of O TermTag
col	NN	col O TermTag
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
expression	NN	expression O TermTag
profile	NN	profile O TermTag
and	CC	and O TermTag
anti-col	JJ	anti-col O TermTag
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
immunity	NN	immunity O TermTag
relative	JJ	relative O TermTag
to	TO	to O TermTag
col	NN	col O TermTag
(	(	( ( NUPOS
I	NN	i NN PennPOS
)	)	) ) NUPOS
in	IN	in O TermTag
clinical	JJ	clinical O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
the	DT	the O TermTag
