Th1/Th2	NN	Th1/Th2 O TermTag
cytokine	NN	cytokine O TermTag
gene	NN	gene O TermTag
polymorphisms	NNS	polymorphism O TermTag
in	IN	in O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
investigated	VBD	investigate O TermTag
30	CD	30 O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
103	CD	103 O TermTag
healthy	JJ	healthy O TermTag
volunteers	NNS	volunteer O TermTag
for	IN	for O TermTag
the	DT	the O TermTag
cytokines	NNS	cytokine O TermTag
polymorphisms	NNS	polymorphism O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
IL-1alpha	NN	IL-1alpha O TermTag
,	,	, , NUPOS
IL-1beta	NN	IL-1beta GENE TermTag
,	,	, , NUPOS
IL-1R	NN	IL-1R O TermTag
,	,	, , NUPOS
IL-1RA	NN	IL-1RA O TermTag
,	,	, , NUPOS
IL-2	NN	IL-2 O TermTag
,	,	, , NUPOS
IL-4	NN	IL-4 GENE TermTag
,	,	, , NUPOS
IL-6	NN	IL-6 GENE TermTag
,	,	, , NUPOS
IL-10	NN	IL-10 GENE TermTag
,	,	, , NUPOS
IL-12	NN	IL-12 O TermTag
,	,	, , NUPOS
tumor	NN	tumor GENE TermTag
necrosis	NN	necrosis GENE TermTag
factor	NN	factor GENE TermTag
alpha	NN	alpha GENE TermTag
,	,	, , NUPOS
interferon-gamma	NN	interferon-gamma O TermTag
,	,	, , NUPOS
transforming	NN	transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
beta	NN	beta GENE TermTag
,	,	, , NUPOS
IL-1beta	NN	IL-1beta GENE TermTag
,	,	, , NUPOS
IL-2	NN	IL-2 O TermTag
,	,	, , NUPOS
IL-4	NN	IL-4 GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
IL-4RA	NN	IL-4RA O TermTag
genes	NNS	gene O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
strongest	JJS	strong O TermTag
correlation	NN	correlation O TermTag
of	IN	of O TermTag
a	DT	a dt NUPOS
genotype	NN	genotype O TermTag
with	IN	with O TermTag
the	DT	the O TermTag
disease	NN	disease O TermTag
was	VBD	be O TermTag
found	VBN	find O TermTag
for	IN	for O TermTag
gene	NN	gene O TermTag
polymorphisms	NNS	polymorphism O TermTag
at	IN	at O TermTag
the	DT	the O TermTag
promotor	NN	promotor O TermTag
region	NN	region O TermTag
of	IN	of O TermTag
IL-4	NN	IL-4 GENE TermTag
,	,	, , NUPOS
where	WRB	where O TermTag
the	DT	the O TermTag
CT	NN	ct O TermTag
genotypes	NNS	genotype O TermTag
at	IN	at O TermTag
the	DT	the O TermTag
positions	NNS	position O TermTag
(	(	( ( NUPOS
-590	CD	-590 O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
(	(	( ( NUPOS
-33	CD	-33 O TermTag
)	)	) ) NUPOS
were	VBD	be O TermTag
more	JJR	many O TermTag
frequent	JJ	frequent O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
IPF	NN	IPF O TermTag
group	NN	group O TermTag
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.0001	CD	0.0001 O TermTag
,	,	, , NUPOS
P	NN	p NN PennPOS
(	(	( ( NUPOS
corr	NN	Corr O TermTag
)	)	) ) NUPOS
<	JJR	< JJR PennPOS
0.0022	CD	0.0022 O TermTag
;	:	; : NUPOS
vs	CC	vs O TermTag
P	NN	p NN PennPOS
<	VBG	< VBG PennPOS
0.0001	CD	0.0001 O TermTag
,	,	, , NUPOS
P	NN	p NN PennPOS
(	(	( ( NUPOS
corr	NN	Corr O TermTag
)	)	) ) NUPOS
<	JJR	< JJR PennPOS
0.0022	CD	0.0022 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Our	PRP$	our O TermTag
results	NNS	result O TermTag
support	VBP	support O TermTag
the	DT	the O TermTag
idea	NN	idea O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
pathogenic	JJ	pathogenic O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
cytokine	NN	cytokine O TermTag
gene	NN	gene O TermTag
polymorphisms	NNS	polymorphism O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
etiology	NN	etiology O TermTag
and	CC	and O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
,	,	, , NUPOS
with	IN	with O TermTag
emphasize	VBP	emphasize O TermTag
on	IN	on O TermTag
the	DT	the O TermTag
IL-4	NN	IL-4 GENE TermTag
promotor	NN	promotor O TermTag
gene	NN	gene O TermTag
polymorphisms	NNS	polymorphism O TermTag
.	.	. . NUPOS

