Plasminogen	NN	plasminogen O TermTag
activator	NN	activator O TermTag
inhibitor	NN	inhibitor O TermTag
1	CD	1 crd NUPOS
,	,	, , NUPOS
fibroblast	NN	fibroblast O TermTag
apoptosis	NN	apoptosis O TermTag
resistance	NN	resistance O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
aging-related	JJ	aging-related O TermTag
susceptibility	NN	susceptibility O TermTag
to	TO	to O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
fatal	JJ	fatal O TermTag
lung	NN	lung O TermTag
disorder	NN	disorder O TermTag
with	IN	with O TermTag
unknown	JJ	unknown O TermTag
cause	NN	cause O TermTag
and	CC	and O TermTag
no	DT	no O TermTag
effective	JJ	effective O TermTag
treatment	NN	treatment O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
incidence	NN	incidence O TermTag
of	IN	of O TermTag
and	CC	and O TermTag
mortality	NN	mortality O TermTag
from	IN	from O TermTag
IPF	NN	IPF O TermTag
increase	NN	increase O TermTag
with	IN	with O TermTag
age	NN	age O TermTag
,	,	, , NUPOS
suggesting	VBG	suggest O TermTag
that	IN	that O TermTag
advanced	JJ	advanced O TermTag
age	NN	age O TermTag
is	VBZ	be O TermTag
a	DT	a dt NUPOS
major	JJ	major O TermTag
risk	NN	risk O TermTag
factor	NN	factor O TermTag
for	IN	for O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
mechanism	NN	mechanism O TermTag
underlying	VBG	underlie O TermTag
the	DT	the O TermTag
increased	VBN	increase O TermTag
susceptibility	NN	susceptibility O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
elderly	JJ	elderly O TermTag
to	TO	to O TermTag
IPF	NN	IPF O TermTag
,	,	, , NUPOS
however	RB	however O TermTag
,	,	, , NUPOS
is	VBZ	be O TermTag
unknown	JJ	unknown O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
this	DT	this O TermTag
study	NN	study O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
show	VBP	show O TermTag
for	IN	for O TermTag
the	DT	the O TermTag
first	JJ	first O TermTag
time	NN	time O TermTag
that	IN	that O TermTag
the	DT	the O TermTag
protein	NN	protein O TermTag
level	NN	level O TermTag
of	IN	of O TermTag
plasminogen	NN	plasminogen GENE TermTag
activator	NN	activator GENE TermTag
inhibitor	NN	inhibitor GENE TermTag
1	NN	1 GENE TermTag
(	(	( ( NUPOS
PAI-1	NN	PAI-1 GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
a	DT	a dt NUPOS
protease	NN	protease O TermTag
inhibitor	NN	inhibitor O TermTag
which	WDT	which O TermTag
plays	VBZ	play O TermTag
an	DT	a O TermTag
essential	JJ	essential O TermTag
role	NN	role O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
control	NN	control O TermTag
of	IN	of O TermTag
fibrinolysis	NN	fibrinolysis O TermTag
,	,	, , NUPOS
was	VBD	be O TermTag
significantly	RB	significant O TermTag
increased	VBN	increase O TermTag
with	IN	with O TermTag
age	NN	age O TermTag
in	IN	in O TermTag
mouse	NN	mouse O TermTag
lung	NN	lung O TermTag
homogenate	NN	homogenate O TermTag
and	CC	and O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

Upon	IN	upon O TermTag
bleomycin	NN	bleomycin O TermTag
challenge	NN	challenge O TermTag
,	,	, , NUPOS
old	JJ	old O TermTag
mice	NNS	mouse O TermTag
experienced	VBD	experience O TermTag
augmented	JJ	augmented O TermTag
PAI-1	NN	PAI-1 GENE TermTag
induction	NN	induction O TermTag
and	CC	and O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
as	IN	as O TermTag
compared	VBN	compare O TermTag
to	TO	to O TermTag
young	JJ	young O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

Most	JJS	many O TermTag
interestingly	RB	interesting O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
show	VBP	show O TermTag
that	IN	that O TermTag
fewer	JJR	few O TermTag
(	(	( ( NUPOS
myo	NN	Myo O TermTag
)	)	) ) NUPOS
fibroblasts	NNS	fibroblast O TermTag
underwent	VBD	undergo O TermTag
apoptosis	NN	apoptosis O TermTag
and	CC	and O TermTag
more	JJR	many O TermTag
(	(	( ( NUPOS
myo	NN	Myo O TermTag
)	)	) ) NUPOS
fibroblasts	NNS	fibroblast O TermTag
with	IN	with O TermTag
increased	VBN	increase O TermTag
level	NN	level O TermTag
of	IN	of O TermTag
PAI-1	NN	PAI-1 GENE TermTag
accumulated	VBN	accumulate O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lung	NN	lung O TermTag
of	IN	of O TermTag
old	JJ	old O TermTag
than	IN	than O TermTag
in	IN	in O TermTag
young	JJ	young O TermTag
mice	NNS	mouse O TermTag
after	IN	after O TermTag
bleomycin	NN	bleomycin O TermTag
challenge	NN	challenge O TermTag
.	.	. . NUPOS

In	FW	in O TermTag
vitro	FW	vitro O TermTag
studies	NNS	study O TermTag
further	RB	further O TermTag
demonstrate	VBP	demonstrate O TermTag
that	IN	that O TermTag
fibroblasts	NNS	fibroblast O TermTag
isolated	VBN	isolate O TermTag
from	IN	from O TermTag
lungs	NNS	lung O TermTag
of	IN	of O TermTag
old	JJ	old O TermTag
mice	NNS	mouse O TermTag
were	VBD	be O TermTag
resistant	JJ	resistant O TermTag
to	TO	to O TermTag
H2O2	NN	H2O2 O TermTag
and	CC	and O TermTag
tumor-necrosis-factor-alpha-induced	JJ	tumor-necrosis-factor-alpha-induced O TermTag
apoptosis	NN	apoptosis O TermTag
and	CC	and O TermTag
had	VBD	have O TermTag
augmented	JJ	augmented O TermTag
fibrotic	JJ	fibrotic O TermTag
responses	NNS	response O TermTag
to	TO	to O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
,	,	, , NUPOS
compared	VBN	compare O TermTag
to	TO	to O TermTag
fibroblasts	NNS	fibroblast O TermTag
isolated	VBN	isolate O TermTag
from	IN	from O TermTag
young	JJ	young O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

Inhibition	NN	inhibition O TermTag
of	IN	of O TermTag
PAI-1	NN	PAI-1 GENE TermTag
activity	NN	activity O TermTag
with	IN	with O TermTag
a	DT	a dt NUPOS
PAI-1	NN	PAI-1 GENE TermTag
inhibitor	NN	inhibitor O TermTag
,	,	, , NUPOS
on	IN	on O TermTag
the	DT	the O TermTag
other	JJ	other O TermTag
hand	NN	hand O TermTag
,	,	, , NUPOS
eliminated	VBD	eliminate O TermTag
the	DT	the O TermTag
aging-related	JJ	aging-related O TermTag
apoptosis	NN	apoptosis O TermTag
resistance	NN	resistance O TermTag
and	CC	and O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
sensitivity	NN	sensitivity O TermTag
in	IN	in O TermTag
isolated	VBN	isolate O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

Moreover	RB	moreover O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
show	VBP	show O TermTag
that	IN	that O TermTag
knocking	VBG	knock O TermTag
down	RP	down O TermTag
PAI-1	NN	PAI-1 GENE TermTag
in	IN	in O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
with	IN	with O TermTag
PAI-1	NN	PAI-1 GENE TermTag
siRNA	NN	siRNA O TermTag
significantly	RB	significant O TermTag
increased	VBD	increase O TermTag
their	PRP$	their O TermTag
sensitivity	NN	sensitivity O TermTag
to	TO	to O TermTag
apoptosis	NN	apoptosis O TermTag
and	CC	and O TermTag
inhibited	VBD	inhibit O TermTag
their	PRP$	their O TermTag
responses	NNS	response O TermTag
to	TO	to O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
.	.	. . NUPOS

Together	RB	together O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
results	NNS	result O TermTag
suggest	VBP	suggest O TermTag
that	IN	that O TermTag
increased	VBN	increase O TermTag
PAI-1	NN	PAI-1 GENE TermTag
expression	NN	expression O TermTag
may	MD	may O TermTag
underlie	VB	underlie O TermTag
the	DT	the O TermTag
aging-related	JJ	aging-related O TermTag
sensitivity	NN	sensitivity O TermTag
to	TO	to O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
in	IN	in O TermTag
part	NN	part O TermTag
by	IN	by O TermTag
protecting	VBG	protect O TermTag
fibroblasts	NNS	fibroblast O TermTag
from	IN	from O TermTag
apoptosis	NN	apoptosis O TermTag
.	.	. . NUPOS

