[	(	[ ( NUPOS
Potential	JJ	potential O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
cytokines	NNS	cytokine O TermTag
in	IN	in O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
]	)	] ) NUPOS
.	.	. . NUPOS

OBJECTIVE	NN	objective O TermTag
:	:	: : NUPOS
To	TO	to O TermTag
investigate	VB	investigate O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
platelet-derived	JJ	platelet-derived O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
PDGF	NN	PDGF O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
transforming	NN	transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
beta	NN	beta GENE TermTag
(	(	( ( NUPOS
TGF-beta	NN	TGF-beta GENE TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
transbronchial	JJ	transbronchial O TermTag
lung	NN	lung O TermTag
biopsy	NN	biopsy O TermTag
(	(	( ( NUPOS
TBLB	NN	TBLB O TermTag
)	)	) ) NUPOS
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and O TermTag
study	VB	study O TermTag
the	DT	the O TermTag
potential	JJ	potential O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
cytokines	NNS	cytokine O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
development	NN	development O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
The	DT	the O TermTag
immunohistochemical	JJ	immunohistochemical O TermTag
methods	NNS	method O TermTag
were	VBD	be O TermTag
used	VBN	use O TermTag
to	TO	to O TermTag
determine	VB	determine O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
PDGF	NN	PDGF O TermTag
,	,	, , NUPOS
TGF-beta	NN	TGF-beta GENE TermTag
in	IN	in O TermTag
TBLB	NN	TBLB O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
In	IN	in O TermTag
IPF	NN	IPF O TermTag
patients	NNS	patient O TermTag
,	,	, , NUPOS
TGF-beta	NN	TGF-beta GENE TermTag
mainly	RB	main O TermTag
existed	VBD	exist O TermTag
at	IN	at O TermTag
tiny	JJ	tiny O TermTag
bronchial	JJ	bronchial O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
type-II	JJ	type-ii O TermTag
cells	NNS	cell O TermTag
and	CC	and O TermTag
alveolar	JJ	alveolar O TermTag
macrophages	NNS	macrophage O TermTag
,	,	, , NUPOS
showing	VBG	show O TermTag
strong	JJ	strong O TermTag
expression	NN	expression O TermTag
compared	VBN	compare O TermTag
with	IN	with O TermTag
controls	NNS	control O TermTag
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

PDGF	NN	PDGF O TermTag
mainly	RB	main O TermTag
existed	VBD	exist O TermTag
at	IN	at O TermTag
fibroblast-like	JJ	fibroblast-like O TermTag
cells	NNS	cell O TermTag
surrounding	VBG	surround O TermTag
pulmonary	JJ	pulmonary O TermTag
vessels	NNS	vessel O TermTag
,	,	, , NUPOS
fibroblasts	NNS	fibroblast O TermTag
,	,	, , NUPOS
tiny	JJ	tiny O TermTag
bronchial	JJ	bronchial O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
type-II	JJ	type-ii O TermTag
cells	NNS	cell O TermTag
and	CC	and O TermTag
alveolar	JJ	alveolar O TermTag
macrophages	NNS	macrophage O TermTag
,	,	, , NUPOS
showing	VBG	show O TermTag
strong	JJ	strong O TermTag
expression	NN	expression O TermTag
compared	VBN	compare O TermTag
with	IN	with O TermTag
controls	NNS	control O TermTag
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

CONCLUSION	NN	conclusion O TermTag
:	:	: : NUPOS
PDGF	NN	PDGF O TermTag
and	CC	and O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
,	,	, , NUPOS
which	WDT	which O TermTag
interact	VBP	interact O TermTag
with	IN	with O TermTag
pulmonary	JJ	pulmonary O TermTag
mesenchymal	JJ	mesenchymal O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
are	VBP	be O TermTag
involved	VBN	involve O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
formation	NN	formation O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

