[	(	[ ( NUPOS
The	DT	the O TermTag
morphology	NN	morphology O TermTag
and	CC	and O TermTag
molecular	JJ	molecular O TermTag
bases	NNS	base/basis O TermTag
of	IN	of O TermTag
damage	NN	damage O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
stem	NN	stem O TermTag
cell	NN	cell O TermTag
niche	NN	niche O TermTag
of	IN	of O TermTag
respiratory	JJ	respiratory O TermTag
acini	NNS	acinus O TermTag
in	IN	in O TermTag
idiopathic	JJ	idiopathic O TermTag
interstitial	JJ	interstitial O TermTag
pneumonias	NNS	pneumonia O TermTag
]	)	] ) NUPOS
.	.	. . NUPOS

The	DT	the O TermTag
authors	NNS	author O TermTag
present	VBP	present O TermTag
the	DT	the O TermTag
material	NN	material O TermTag
of	IN	of O TermTag
their	PRP$	their O TermTag
study	NN	study O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
morphological	JJ	morphological O TermTag
and	CC	and O TermTag
molecular	JJ	molecular O TermTag
biological	JJ	biological O TermTag
features	NNS	feature O TermTag
of	IN	of O TermTag
damage	NN	damage O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
stem	NN	stem O TermTag
cell	NN	cell O TermTag
niches	NNS	niche O TermTag
(	(	( ( NUPOS
SCN	NN	scn O TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
the	DT	the O TermTag
respiratory	JJ	respiratory O TermTag
acini	NNS	acinus O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
lung	NN	lung O TermTag
and	CC	and O TermTag
the	DT	the O TermTag
significance	NN	significance O TermTag
of	IN	of O TermTag
their	PRP$	their O TermTag
occurring	VBG	occur O TermTag
changes	NNS	change O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
chronic	JJ	chronic O TermTag
idiopathic	JJ	idiopathic O TermTag
interstitial	JJ	interstitial O TermTag
pneumonias	NNS	pneumonia O TermTag
(	(	( ( NUPOS
IIP	NN	IIP O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
including	VBG	include O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
desquamative	JJ	desquamative O TermTag
interstitial	JJ	interstitial O TermTag
pneumonia	NN	pneumonia O TermTag
(	(	( ( NUPOS
DIP	NN	dip O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
cryptogenic	JJ	cryptogenic O TermTag
organizing	VBG	organize O TermTag
pneumonia	NN	pneumonia O TermTag
(	(	( ( NUPOS
COP	NN	cop O TermTag
)	)	) ) NUPOS
with	IN	with O TermTag
bronchiolitis	NN	bronchiolitis O TermTag
obliterans	NNS	obliteran O TermTag
(	(	( ( NUPOS
BO	NN	BO O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and O TermTag
nonspecific	JJ	nonspecific O TermTag
interstitial	JJ	interstitial O TermTag
pneumonia	NN	pneumonia O TermTag
(	(	( ( NUPOS
NSIP	NN	NSIP O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

SUBJECTS	NNS	subject O TermTag
AND	CC	and O TermTag
METHODS	NNS	method O TermTag
:	:	: : NUPOS
The	DT	the O TermTag
study	NN	study O TermTag
was	VBD	be O TermTag
performed	VBN	perform O TermTag
using	VBG	use O TermTag
open	JJ	open O TermTag
transthoracic	JJ	transthoracic O TermTag
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
181	CD	181 O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
transbronchial	JJ	transbronchial O TermTag
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
71	CD	71 O TermTag
)	)	) ) NUPOS
lung	NN	lung O TermTag
biopsies	NNS	biopsy O TermTag
from	IN	from O TermTag
194	CD	194 O TermTag
patients	NNS	patient O TermTag
(	(	( ( NUPOS
118	CD	118 O TermTag
cases	NNS	case O TermTag
(	(	( ( NUPOS
61	CD	61 O TermTag
%	NN	% NN PennPOS
)	)	) ) NUPOS
with	IN	with O TermTag
IPF	NN	IPF O TermTag
,	,	, , NUPOS
35	CD	35 O TermTag
(	(	( ( NUPOS
18	CD	18 O TermTag
%	NN	% NN PennPOS
)	)	) ) NUPOS
with	IN	with O TermTag
NSIP	NN	NSIP O TermTag
,	,	, , NUPOS
23	CD	23 O TermTag
(	(	( ( NUPOS
12	CD	12 O TermTag
%	NN	% NN PennPOS
)	)	) ) NUPOS
with	IN	with O TermTag
DIP	NN	dip O TermTag
,	,	, , NUPOS
18	CD	18 O TermTag
(	(	( ( NUPOS
9	CD	9 crd NUPOS
%	NN	% NN PennPOS
)	)	) ) NUPOS
with	IN	with O TermTag
COP	NN	cop O TermTag
+	CC	+ CC PennPOS
BO	NN	BO O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the O TermTag
serial	NN	serial O TermTag
paraffin	NN	paraffin O TermTag
sections	NNS	section O TermTag
were	VBD	be O TermTag
stained	VBN	stain O TermTag
with	IN	with O TermTag
hematoxylin	NN	hematoxylin O TermTag
and	CC	and O TermTag
eosin	NN	eosin O TermTag
and	CC	and O TermTag
van	NN	van O TermTag
Gieson	NNP	Gieson O TermTag
's	POS	's O TermTag
picrofuchsin	NN	picrofuchsin O TermTag
and	CC	and O TermTag
immunohistochemical	JJ	immunohistochemical O TermTag
reactions	NNS	reaction O TermTag
were	VBD	be O TermTag
carried	VBN	carry O TermTag
out	RP	out O TermTag
to	TO	to O TermTag
detect	VB	detect O TermTag
MMP-1	NN	MMP-1 GENE TermTag
,	,	, , NUPOS
MMP-2	NN	MMP-2 GENE TermTag
,	,	, , NUPOS
MMP-7	NN	MMP-7 GENE TermTag
,	,	, , NUPOS
Apo-Cas	NN	Apo-Cas O TermTag
(	(	( ( NUPOS
``	``	`` O TermTag
Novocastra	NNP	Novocastra O TermTag
''	''	'' O TermTag
,	,	, , NUPOS
1:100	CD	1:100 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
vimentin	NN	vimentin GENE TermTag
(	(	( ( NUPOS
Vimentin	NN	vimentin GENE TermTag
)	)	) ) NUPOS
(	(	( ( NUPOS
``	``	`` O TermTag
LabVision	NN	LabVision O TermTag
''	''	'' O TermTag
