Overexpression	NN	overexpression O TermTag
of	IN	of O TermTag
Sulf2	NN	Sulf2 GENE TermTag
in	IN	in O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Previously	RB	previous O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
have	VBP	have O TermTag
shown	VBN	show O TermTag
that	IN	that O TermTag
heparan	NN	heparan O TermTag
sulfate	NN	sulfate O TermTag
(	(	( ( NUPOS
HS	NN	HS O TermTag
)	)	) ) NUPOS
6-O-endosulfatase	NN	6-O-endosulfatase O TermTag
1	CD	1 crd NUPOS
(	(	( ( NUPOS
Sulf1	NN	Sulf1 GENE TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
transforming	NN	transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
b1	NN	b1 GENE TermTag
(	(	( ( NUPOS
TGF-b1	NN	TGF-b1 GENE TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
responsive	JJ	responsive O TermTag
gene	NN	gene O TermTag
in	IN	in O TermTag
normal	JJ	normal O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
and	CC	and O TermTag
functions	NNS	function O TermTag
as	IN	as O TermTag
a	DT	a dt NUPOS
negative	JJ	negative O TermTag
feedback	NN	feedback O TermTag
regulator	NN	regulator O TermTag
of	IN	of O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
and	CC	and O TermTag
that	IN	that O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
induces	VBZ	induce O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
Sulf1	NN	Sulf1 GENE TermTag
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
that	DT	that O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
closely	RB	close O TermTag
related	JJ	related O TermTag
Sulf2	NN	Sulf2 GENE TermTag
in	IN	in O TermTag
a	DT	a dt NUPOS
murine	JJ	murine O TermTag
model	NN	model O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
this	DT	this O TermTag
