Protective	JJ	protective O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
gambogic	JJ	gambogic O TermTag
acid	NN	acid O TermTag
in	IN	in O TermTag
experimental	JJ	experimental O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
in	FW	in O TermTag
vitro	FW	vitro O TermTag
and	CC	and O TermTag
in	FW	in O TermTag
vivo	FW	vivo O TermTag
.	.	. . NUPOS

BACKGROUND	NN	background O TermTag
:	:	: : NUPOS
Idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
progressive	JJ	progressive O TermTag
disorder	NN	disorder O TermTag
with	IN	with O TermTag
poor	JJ	poor O TermTag
prognosis	NN	prognosis O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
treatment	NN	treatment O TermTag
options	NNS	option O TermTag
for	IN	for O TermTag
IPF	NN	IPF O TermTag
are	VBP	be O TermTag
very	RB	very O TermTag
limited	JJ	limited O TermTag
.	.	. . NUPOS

Gambogic	JJ	gambogic O TermTag
acid	NN	acid O TermTag
(	(	( ( NUPOS
GA	NN	ga O TermTag
)	)	) ) NUPOS
has	VBZ	have O TermTag
anticancer	JJ	anticancer O TermTag
effect	NN	effect O TermTag
and	CC	and O TermTag
anti-proliferative	JJ	anti-proliferative O TermTag
activity	NN	activity O TermTag
which	WDT	which O TermTag
is	VBZ	be O TermTag
extracted	VBN	extract O TermTag
from	IN	from O TermTag
a	DT	a dt NUPOS
dried	VBN	dry O TermTag
yellow	JJ	yellow O TermTag
resin	NN	resin O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
Garcinia	NNP	garcinia O TermTag
hanburyi	NN	hanburyi O TermTag
Hook.f	NN	Hook.f O TermTag
.	.	. . NUPOS

[	(	[ ( NUPOS
Clusiaceae	NN	clusiaceae O TermTag
(	(	( ( NUPOS
Guttiferae	NN	guttiferae O TermTag
)	)	) ) NUPOS
]	)	] ) NUPOS
in	IN	in O TermTag
Southeast	NNP	southeast O TermTag
Asia	NNP	asia O TermTag
.	.	. . NUPOS

However	RB	however O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
anti-fibrotic	JJ	anti-fibrotic O TermTag
activities	NNS	activity O TermTag
of	IN	of O TermTag
GA	NN	ga O TermTag
have	VBP	have O TermTag
not	RB	not O TermTag
been	VBN	be O TermTag
previously	RB	previous O TermTag
investigated	VBN	investigate O TermTag
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
In	IN	in O TermTag
this	DT	this O TermTag
study	NN	study O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
effects	NNS	effect O TermTag
of	IN	of O TermTag
GA	NN	ga O TermTag
on	IN	on O TermTag
TGF-b1-mediated	JJ	tgf-b1-mediated O TermTag
epithelial-mesenchymal	JJ	epithelial-mesenchymal O TermTag
transition	NN	transition O TermTag
(	(	( ( NUPOS
EMT	NN	emt GENE TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
A549	NN	A549 O TermTag
cells	NNS	cell O TermTag
and	CC	and O TermTag
endothelial-mesenchymal	JJ	endothelial-mesenchymal O TermTag
transition	NN	transition O TermTag
(	(	( ( NUPOS
EndoMT	NN	EndoMT O TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
human	JJ	human O TermTag
pulmonary	JJ	pulmonary O TermTag
microvascular	JJ	microvascular O TermTag
endothelial	JJ	endothelial O TermTag
cells	NNS	cell O TermTag
(	(	( ( NUPOS
HPMECs	NNS	hpmec O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
on	IN	on O TermTag
the	DT	the O TermTag
proliferation	NN	proliferation O TermTag
of	IN	of O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
(	(	( ( NUPOS
HLF-1	NN	HLF-1 O TermTag
)	)	) ) NUPOS
were	VBD	be O TermTag
investigated	VBN	investigate O TermTag
in	FW	in O TermTag
vitro	FW	vitro O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
on	IN	on O TermTag
bleomycin	NN	bleomycin O TermTag
(	(	( ( NUPOS
BLM	NN	Blm O TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce O TermTag
pulmonary	JJ	pulmonary O TermTag
