Participation	NN	participation O TermTag
of	IN	of O TermTag
miR-200	NN	miR-200 O TermTag
in	IN	in O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Excessive	JJ	excessive O TermTag
extracellular	JJ	extracellular O TermTag
matrix	NN	matrix O TermTag
production	NN	production O TermTag
by	IN	by O TermTag
fibroblasts	NNS	fibroblast O TermTag
in	IN	in O TermTag
response	NN	response O TermTag
to	TO	to O TermTag
tissue	NN	tissue O TermTag
injury	NN	injury O TermTag
contributes	VBZ	contribute O TermTag
to	TO	to O TermTag
fibrotic	JJ	fibrotic O TermTag
diseases	NNS	disease O TermTag
,	,	, , NUPOS
such	JJ	such O TermTag
as	IN	as O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Epithelial-mesenchymal	JJ	epithelial-mesenchymal O TermTag
transition	NN	transition O TermTag
,	,	, , NUPOS
involving	VBG	involve O TermTag
transition	NN	transition O TermTag
of	IN	of O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
(	(	( ( NUPOS
AECs	NNS	aec O TermTag
)	)	) ) NUPOS
to	TO	to O TermTag
pulmonary	JJ	pulmonary O TermTag
fibroblasts	NNS	fibroblast O TermTag
,	,	, , NUPOS
appears	VBZ	appear O TermTag
to	TO	to O TermTag
be	VB	be O TermTag
an	DT	a O TermTag
important	JJ	important O TermTag
contributory	JJ	contributory O TermTag
process	NN	process O TermTag
to	TO	to O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Although	IN	although O TermTag
aberrant	JJ	aberrant O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
microRNAs	NNS	microrna O TermTag
(	(	( ( NUPOS
miRs	NNS	mir O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
involved	VBN	involve O TermTag
in	IN	in O TermTag
a	DT	a dt NUPOS
variety	NN	variety O TermTag
of	IN	of O TermTag
pathophysiologic	JJ	pathophysiologic O TermTag
processes	NNS	process O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
miRs	NNS	mir O TermTag
in	IN	in O TermTag
fibrotic	JJ	fibrotic O TermTag
lung	NN	lung O TermTag
diseases	NNS	disease O TermTag
is	VBZ	be O TermTag
less	RBR	little O TermTag
well	RB	well O TermTag
understood	VBN	understand O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
the	DT	the O TermTag
present	JJ	present O TermTag
study	NN	study O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
found	VBD	find O TermTag
that	IN	that O TermTag
miR-200a	NN	miR-200a O TermTag
,	,	, , NUPOS
miR-200b	NN	miR-200b O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
miR-200c	NN	miR-200c O TermTag
are	VBP	be O TermTag
significantly	RB	significant O TermTag
down-regulated	VBN	downregulate O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lungs	NNS	lung O TermTag
of	IN	of O TermTag
mice	NNS	mouse O TermTag
with	IN	with O TermTag
experimental	JJ	experimental O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Levels	NNS	level O TermTag
of	IN	of O TermTag
miR-200a	NN	miR-200a O TermTag
and	CC	and O TermTag
miR-200c	NN	miR-200c O TermTag
were	VBD	be O TermTag
reduced	VBN	reduce O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lungs	NNS	lung O TermTag
of	IN	of O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

miR-200	NN	miR-200 O TermTag
had	VBD	have O TermTag
greater	JJR	great O TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
AECs	NNS	aec O TermTag
than	IN	than O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
