Syndecan-2	NN	Syndecan-2 GENE TermTag
exerts	VBZ	exert O TermTag
antifibrotic	JJ	antifibrotic O TermTag
effects	NNS	effect O TermTag
by	IN	by O TermTag
promoting	VBG	promote O TermTag
caveolin-1-mediated	JJ	caveolin-1-mediated O TermTag
transforming	NN	transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
b	NN	b GENE TermTag
receptor	NN	receptor O TermTag
I	PRP	i pns11 NUPOS
internalization	NN	internalization O TermTag
and	CC	and O TermTag
inhibiting	VBG	inhibit O TermTag
transforming	NN	transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
b1	NN	b1 GENE TermTag
signaling	NN	signaling O TermTag
.	.	. . NUPOS

RATIONALE	NN	rationale O TermTag
:	:	: : NUPOS
Alveolar	JJ	alveolar O TermTag
transforming	VBG	transform O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
TGF	NN	tgf O TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
b1	NN	b1 O TermTag
signaling	NN	signaling O TermTag
and	CC	and O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
target	NN	target O TermTag
genes	NNS	gene O TermTag
are	VBP	be O TermTag
increased	VBN	increase O TermTag
in	IN	in O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
in	IN	in O TermTag
animal	NN	animal O TermTag
models	NNS	model O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Internalization	NN	internalization O TermTag
and	CC	and O TermTag
degradation	NN	degradation O TermTag
of	IN	of O TermTag
