Up-regulation	NN	Up-regulation NN PennPOS
of	IN	of pp-f NUPOS
heparan	NN	heparan NN PennPOS
sulfate	NN	sulfate NN PennPOS
6-O-sulfation	NN	6-O-sulfation NN PennPOS
in	IN	in IN PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Heparan	NN	heparan NN PennPOS
sulfate	NN	sulfate NN PennPOS
proteoglycans	NNS	proteoglycan NNS PennPOS
(	(	( ( NUPOS
HSPGs	NNS	hspg NNS PennPOS
)	)	) ) NUPOS
are	VBP	be vbb NUPOS
integral	JJ	integral JJ PennPOS
components	NNS	component NNS PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
lung	NN	lung NN PennPOS
.	.	. . NUPOS

Changes	NNS	change NNS PennPOS
in	IN	in IN PennPOS
HSPGs	NNS	hspg NNS PennPOS
have	VBP	have vhb NUPOS
been	VBN	be vbn NUPOS
documented	VBN	document VBN PennPOS
in	IN	in IN PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Many	JJ	many JJ PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
biological	JJ	biological JJ PennPOS
functions	NNS	function NNS PennPOS
of	IN	of pp-f NUPOS
HSPGs	NNS	hspg NNS PennPOS
are	VBP	be vbb NUPOS
mediated	VBN	mediate VBN PennPOS
by	IN	by IN PennPOS
heparan	NN	heparan NN PennPOS
sulfate	NN	sulfate NN PennPOS
(	(	( ( NUPOS
HS	NN	HS NN PennPOS
)	)	) ) NUPOS
side	NN	side NN PennPOS
chains	NNS	chain NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
little	JJ	little JJ PennPOS
is	VBZ	be vbz NUPOS
understood	VBN	understand VBN PennPOS
about	IN	about IN PennPOS
these	DT	these d NUPOS
side	NN	side NN PennPOS
chains	NNS	chain NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
aims	NNS	aim NNS PennPOS
of	IN	of pp-f NUPOS
this	DT	this d NUPOS
study	NN	study NN PennPOS
were	VBD	be vbd NUPOS
to	TO	to p-acp NUPOS
compare	VB	compare VBP PennPOS
HS	NN	HS NN PennPOS
structure	NN	structure NN PennPOS
between	IN	between IN PennPOS
normal	JJ	normal JJ PennPOS
and	CC	and cc NUPOS
IPF	NN	IPF NN PennPOS
lungs	NNS	lung NNS PennPOS
and	CC	and cc NUPOS
to	TO	to p-acp NUPOS
examine	VB	examine VBP PennPOS
how	WRB	how c-crq NUPOS
changes	NNS	change NNS PennPOS
in	IN	in IN PennPOS
HS	NN	HS NN PennPOS
regulate	VBP	regulate VBP PennPOS
the	DT	the dt NUPOS
fibrotic	JJ	fibrotic JJ PennPOS
process	NN	process NN PennPOS
.	.	. . NUPOS

HS	NN	HS NN PennPOS
disaccharide	NN	disaccharide NN PennPOS
analysis	NN	analysis NN PennPOS
revealed	VBD	reveal VBD PennPOS
that	IN	that cst NUPOS
HS	NN	HS NN PennPOS
6-O-sulfation	NN	6-O-sulfation NN PennPOS
was	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
increased	VBN	increase VBN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
lungs	NNS	lung NNS PennPOS
compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
normal	JJ	normal JJ PennPOS
lungs	NNS	lung NNS PennPOS
,	,	, , NUPOS
concomitant	JJ	concomitant JJ PennPOS
with	IN	with pp NUPOS
overexpression	NN	overexpression NN PennPOS
of	IN	of pp-f NUPOS
HS	NN	HS NN PennPOS
6-O-sulfotransferases	NNS	6-o-sulfotransferase NNS PennPOS
1	CD	1 crd NUPOS
and	CC	and cc NUPOS
2	CD	2 crd NUPOS
(	(	( ( NUPOS
HS6ST1/2	NN	HS6ST1/2 NN PennPOS
)	)	) ) NUPOS
mRNA	NN	mRNA NN PennPOS
.	.	. . NUPOS

Immunohistochemistry	NN	immunohistochemistry NN PennPOS
revealed	VBD	reveal VBD PennPOS
that	IN	that cst NUPOS
HS6ST2	NN	HS6ST2 NN PennPOS
was	VBD	be vbd NUPOS
specifically	RB	specific av-j NUPOS
expressed	VBN	express VBN PennPOS
in	IN	in IN PennPOS
bronchial	JJ	bronchial JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
including	VBG	include VBG PennPOS
those	DT	those d NUPOS
lining	VBG	line VBG PennPOS
the	DT	the dt NUPOS
honeycomb	NN	honeycomb NN PennPOS
cysts	NNS	cyst NNS PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
lungs	NNS	lung NNS PennPOS
,	,	, , NUPOS
whereas	IN	whereas cs NUPOS
HS6ST1	NN	HS6ST1 NN PennPOS
had	VBD	have vhd NUPOS
a	DT	a dt NUPOS
broad	JJ	broad JJ PennPOS
expression	NN	expression NN PennPOS
pattern	NN	pattern NN PennPOS
.	.	. . NUPOS

Lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
fibroblastic	JJ	fibroblastic JJ PennPOS
foci	NNS	focus NNS PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
lungs	NNS	lung NNS PennPOS
expressed	VBD	express VBD PennPOS
HS6ST1	NN	HS6ST1 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
overexpression	NN	overexpression NN PennPOS
of	IN	of pp-f NUPOS
HS6ST1	NN	HS6ST1 NN PennPOS
mRNA	NN	mRNA NN PennPOS
was	VBD	be vbd NUPOS
observed	VBN	observe VBN PennPOS
in	IN	in IN PennPOS
primary	JJ	primary JJ PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
isolated	VBN	isolate VBN PennPOS
from	IN	from pp NUPOS
IPF	NN	IPF NN PennPOS
lungs	NNS	lung NNS PennPOS
compared	VBN	compare VBN PennPOS
