Leucine-rich	JJ	leucine-rich JJ PennPOS
a-2	NN	a-2 NN PennPOS
glycoprotein	NN	glycoprotein NN PennPOS
promotes	VBZ	promote VBZ PennPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
by	IN	by IN PennPOS
modulating	VBG	modulate VBG PennPOS
TGF-b	NN	TGF-b NN PennPOS
signaling	NN	signaling NN PennPOS
in	IN	in IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

TGF-b	NN	TGF-b NN PennPOS
has	VBZ	have vdz NUPOS
an	DT	a dt NUPOS
important	JJ	important JJ PennPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
fibrotic	JJ	fibrotic JJ PennPOS
diseases	NNS	disease NNS PennPOS
,	,	, , NUPOS
including	VBG	include VBG PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Detailed	JJ	detailed JJ PennPOS
analysis	NN	analysis NN PennPOS
of	IN	of pp-f NUPOS
TGF-b	NN	TGF-b NN PennPOS
signaling	NN	signaling NN PennPOS
in	IN	in IN PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
at	IN	at pp NUPOS
the	DT	the dt NUPOS
molecular	JJ	molecular JJ PennPOS
level	NN	level NN PennPOS
is	VBZ	be vbz NUPOS
needed	VBN	need VBN PennPOS
to	TO	to p-acp NUPOS
identify	VB	identify VBP PennPOS
novel	JJ	novel JJ PennPOS
therapeutic	JJ	therapeutic JJ PennPOS
targets	NNS	target NNS PennPOS
.	.	. . NUPOS

Recently	RB	recent av-j NUPOS
,	,	, , NUPOS
leucine-rich-alpha-2-glycoprotein	NN	leucine-rich-alpha-2-glycoprotein NN PennPOS
(	(	( ( NUPOS
LRG	NN	LRG NN PennPOS
)	)	) ) NUPOS
was	VBD	be vbd NUPOS
reported	VBN	report VBN PennPOS
to	TO	to p-acp NUPOS
function	VB	function VBP PennPOS
as	IN	as c-acp NUPOS
a	DT	a dt NUPOS
modulator	NN	modulator NN PennPOS
of	IN	of pp-f NUPOS
TGF-b	NN	TGF-b NN PennPOS
signaling	NN	signaling NN PennPOS
in	IN	in IN PennPOS
angiogenesis	NN	angiogenesis NN PennPOS
and	CC	and cc NUPOS
tumor	NN	tumor NN PennPOS
progression	NN	progression NN PennPOS
.	.	. . NUPOS

However	RB	however a-acp NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
involvement	NN	involvement NN PennPOS
of	IN	of pp-f NUPOS
LRG	NNP	LRG NN PennPOS
in	IN	in IN PennPOS
fibrotic	JJ	fibrotic JJ PennPOS
disorders	NNS	disorder NNS PennPOS
,	,	, , NUPOS
including	VBG	include VBG PennPOS
IPF	NNP	IPF NN PennPOS
,	,	, , NUPOS
has	VBZ	have vdz NUPOS
not	RB	not xx NUPOS
yet	RB	yet av NUPOS
been	VBN	be vbn NUPOS
investigated	VBN	investigate VBN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
this	DT	this d NUPOS
study	NN	study NN PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
investigated	VBD	investigate VBD PennPOS
the	DT	the dt NUPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
LRG	NNP	LRG NN PennPOS
in	IN	in IN PennPOS
fibrosis	NN	fibrosis NN PennPOS
by	IN	by IN PennPOS
analyzing	VBG	analyse VBG PennPOS
LRG	NNP	LRG NN PennPOS
