Targeting	NN	Targeting NN PennPOS
sphingosine	NN	sphingosine NN PennPOS
kinase	NN	kinase NN PennPOS
1	CD	1 crd NUPOS
attenuates	VBZ	attenuate VBZ PennPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
chronic	JJ	chronic JJ PennPOS
and	CC	and cc NUPOS
progressive	JJ	progressive JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
lung	NN	lung NN PennPOS
disease	NN	disease NN PennPOS
,	,	, , NUPOS
wherein	WRB	wherein c-crq NUPOS
transforming-growth-factor-b	NN	transforming-growth-factor-b NN PennPOS
(	(	( ( NUPOS
TGF-b	NN	TGF-b NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
sphingosine-1-phosphate	NN	sphingosine-1-phosphate NN PennPOS
(	(	( ( NUPOS
S1P	NN	S1P NN PennPOS
)	)	) ) NUPOS
contribute	VBP	contribute VBP PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

However	RB	however a-acp NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
in	FW	in fw-la NUPOS
vivo	FW	vivo fw-la NUPOS
contribution	NN	contribution NN PennPOS
of	IN	of pp-f NUPOS
sphingosine	NN	sphingosine NN PennPOS
kinase	NN	kinase NN PennPOS
(	(	( ( NUPOS
SphK	NN	SphK NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
fibrotic	JJ	fibrotic JJ PennPOS
processes	NNS	process n2 NUPOS
has	VBZ	have vdz NUPOS
not	RB	not xx NUPOS
been	VBN	be vbn NUPOS
documented	VBN	document VBN PennPOS
.	.	. . NUPOS

Microarray	NN	Microarray NN PennPOS
analysis	NN	analysis NN PennPOS
of	IN	of pp-f NUPOS
blood	NN	blood NN PennPOS
mononuclear	JJ	mononuclear JJ PennPOS
cells	NNS	cell NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
SphK1	NN	SphK1 NN PennPOS
-	:	- : NUPOS
or	CC	or cc NUPOS
SphK2-knockdown	JJ	sphk2-knockdown JJ PennPOS
mice	NNS	mouse n2 NUPOS
and	CC	and cc NUPOS
SphK	NN	SphK NN PennPOS
inhibitor	NN	inhibitor NN PennPOS
were	VBD	be vbd NUPOS
used	VBN	use VBN PennPOS
to	TO	to p-acp NUPOS
assess	VB	assess VBP PennPOS
the	DT	the dt NUPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
SphKs	NNS	sphk NNS PennPOS
in	IN	in IN PennPOS
fibrogenesis	NN	fibrogenesis NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
SphK1/2	NN	SphK1/2 NN PennPOS
negatively	RB	negative av-jn NUPOS
correlated	VBD	correlate VBD PennPOS
with	IN	with pp NUPOS
lung	NN	lung NN PennPOS
function	NN	function NN PennPOS
and	CC	and cc NUPOS
survival	NN	survival NN PennPOS
in	IN	in IN PennPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

Also	RB	also av NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
SphK1	NN	SphK1 NN PennPOS
was	VBD	be vbd NUPOS
increased	VBN	increase VBN PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
tissues	NNS	tissue NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
bleomycin-challenged	JJ	bleomycin-challenged JJ PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

Knockdown	NNP	knockdown NN PennPOS
of	IN	of pp-f NUPOS
SphK1	NN	SphK1 NN PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
not	RB	not xx NUPOS
SphK2	NN	SphK2 NN PennPOS
,	,	, , NUPOS
increased	VBD	increase VBD PennPOS
survival	NN	survival NN PennPOS
