N-acetyl-L-cysteine	NN	N-acetyl-L-cysteine NN PennPOS
inhibits	VBZ	inhibit VBZ PennPOS
TGF-beta1-induced	JJ	tgf-beta1-induced JJ PennPOS
profibrotic	JJ	profibrotic JJ PennPOS
responses	NNS	response NNS PennPOS
in	IN	in IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

BACKGROUND	NN	background NN PennPOS
:	:	: : NUPOS
Excessive	JJ	excessive JJ PennPOS
production	NN	production NN PennPOS
of	IN	of pp-f NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
plays	VBZ	play VBZ PennPOS
a	DT	a dt NUPOS
key	JJ	key JJ PennPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
tissue	NN	tissue NN PennPOS
remodeling	NN	remodeling NN PennPOS
or	CC	or cc NUPOS
fibrotic	JJ	fibrotic JJ PennPOS
process	NN	process NN PennPOS
observed	VBN	observe VBN PennPOS
in	IN	in IN PennPOS
bronchial	JJ	bronchial JJ PennPOS
asthma	NN	asthma NN PennPOS
,	,	, , NUPOS
chronic	JJ	chronic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
disease	NN	disease NN PennPOS
(	(	( ( NUPOS
COPD	NN	copd NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

TGF-beta	NN	TGF-beta NN PennPOS
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
has	VBZ	have vdz NUPOS
been	VBN	be vbn NUPOS
reported	VBN	report VBN PennPOS
to	TO	to p-acp NUPOS
decrease	VB	decrease VBP PennPOS
the	DT	the dt NUPOS
intracellular	JJ	intracellular JJ PennPOS
glutathione	NN	glutathione NN PennPOS
level	NN	level NN PennPOS
and	CC	and cc NUPOS
stimulate	VBP	stimulate VBP PennPOS
the	DT	the dt NUPOS
production	NN	production NN PennPOS
of	IN	of pp-f NUPOS
reactive	JJ	reactive JJ PennPOS
oxygen	NN	oxygen NN PennPOS
species	NNS	specie NNS PennPOS
.	.	. . NUPOS

OBJECTIVES	NNS	objective NNS PennPOS
:	:	: : NUPOS
The	DT	the dt NUPOS
aim	NN	aim NN PennPOS
of	IN	of pp-f NUPOS
this	DT	this d NUPOS
study	NN	study NN PennPOS
was	VBD	be vbd NUPOS
to	TO	to p-acp NUPOS
evaluate	VB	evaluate VBP PennPOS
whether	IN	whether cs NUPOS
the	DT	the dt NUPOS
antioxidant	JJ	antioxidant JJ PennPOS
N-acetyl-l-cysteine	NN	N-acetyl-l-cysteine NN PennPOS
(	(	( ( NUPOS
NAC	NN	nac NN PennPOS
)	)	) ) NUPOS
can	MD	can vmb NUPOS
affect	VB	affect VBP PennPOS
TGF-beta	NN	TGF-beta NN PennPOS
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
mediated	VBN	mediate VBN PennPOS
tissue	NN	tissue NN PennPOS
remodeling	NN	remodeling NN PennPOS
in	IN	in IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
or	CC	or cc NUPOS
modulate	VB	modulate VBP PennPOS
the	DT	the dt NUPOS
production	NN	production NN PennPOS
of	IN	of pp-f NUPOS
fibronectin	NN	fibronectin NN PennPOS
and	CC	and cc NUPOS
vascular-endothelial-growth-factor	NN	vascular-endothelial-growth-factor NN PennPOS
(	(	( ( NUPOS
VEGF	NN	vegf NN PennPOS
)	)	) ) NUPOS
which	WDT	which r-crq NUPOS
are	VBP	be vbb NUPOS
believed	VBN	believe VBN PennPOS
to	TO	to p-acp NUPOS
be	VB	be vbi NUPOS
important	JJ	important JJ PennPOS
mediators	NNS	mediator NNS PennPOS
of	IN	of pp-f NUPOS
tissue	NN	tissue NN PennPOS
repair	NN	repair NN PennPOS
and	CC	and cc NUPOS
remodeling	NN	remodeling NN PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
To	TO	to p-acp NUPOS
accomplish	VB	accomplish VBP PennPOS
this	DT	this d NUPOS
,	,	, , NUPOS
human	JJ	human JJ PennPOS
fetal	JJ	fetal JJ PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
(	(	( ( NUPOS
HFL-1	NN	HFL-1 NN PennPOS
)	)	) ) NUPOS
were	VBD	be vbd NUPOS
used	VBN	use VBN PennPOS
to	TO	to p-acp NUPOS
assess	VB	assess VBP PennPOS
the	DT	the dt NUPOS
effect	NN	effect NN PennPOS
of	IN	of pp-f NUPOS
NAC	NN	nac NN PennPOS
on	IN	on IN PennPOS
the	DT	the dt NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
mediated	VBN	mediate VBN PennPOS
contraction	NN	contraction NN PennPOS
of	IN	of pp-f NUPOS
floating	VBG	float vvg NUPOS
gels	NNS	gel NNS PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce VBN PennPOS
mediator	NN	mediator NN PennPOS
production	NN	production NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
addition	NN	addition NN PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
effect	NN	effect NN PennPOS
of	IN	of pp-f NUPOS
NAC	NN	nac NN PennPOS
on	IN	on IN PennPOS
the	DT	the dt NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBD	induce VBD PennPOS
differentiation	NN	differentiation NN PennPOS
to	TO	to p-acp NUPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
was	VBD	be vbd NUPOS
evaluated	VBN	evaluate VBN PennPOS
by	IN	by IN PennPOS
assessing	VBG	assess VBG PennPOS
alpha-smooth-muscle-actin	NN	alpha-smooth-muscle-actin NN PennPOS
(	(	( ( NUPOS
alpha-SMA	NN	alpha-SMA NN PennPOS
)	)	) ) NUPOS
expression	NN	expression NN PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
NAC	NN	nac NN PennPOS
significantly	RB	significant av-j NUPOS
abolished	VBD	abolish VBD PennPOS
the	DT	the dt NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
augmented	VBD	augment VBD PennPOS
gel	NN	gel NN PennPOS
contraction	NN	contraction NN PennPOS
(	(	( ( NUPOS
at	IN	at pp NUPOS
3mM	NN	3mM NN PennPOS
,	,	, , NUPOS
gel	NN	gel NN PennPOS
size	NN	size NN PennPOS
63.4	CD	63.4 CD PennPOS
+	CC	+ CC PennPOS
/	:	/ : NUPOS
-2.6	CD	-2.6 CD PennPOS
%	NN	% NN PennPOS
vs.	CC	vs. CC PennPOS
39.1	CD	39.1 CD PennPOS
+	CC	+ CC PennPOS
/	:	/ : NUPOS
-4.1	CD	-4.1 CD PennPOS
%	NN	% NN PennPOS
;	:	; : NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 CD PennPOS
)	)	) ) NUPOS
compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
control	NN	control NN PennPOS
in	IN	in IN PennPOS
a	DT	a dt NUPOS
concentration-dependent	JJ	concentration-dependent JJ PennPOS
manner	NN	manner NN PennPOS
.	.	. . NUPOS

NAC	NN	nac NN PennPOS
also	RB	also av NUPOS
significantly	RB	significant av-j NUPOS
inhibited	VBD	inhibit VBD PennPOS
the	DT	the dt NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
augmented	VBD	augment VBD PennPOS
fibronectin	NN	fibronectin NN PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 CD PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
VEGF	NN	vegf NN PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 CD PennPOS
)	)	) ) NUPOS
production	NN	production NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
media	NNS	medium NNS PennPOS
of	IN	of pp-f NUPOS
both	CC	both CC PennPOS
the	DT	the dt NUPOS
three-dimensional	JJ	three-dimensional JJ PennPOS
gel	NN	gel NN PennPOS
and	CC	and cc NUPOS
monolayer	NN	monolayer NN PennPOS
culture	NN	culture NN PennPOS
.	.	. . NUPOS

Furthermore	RB	furthermore av NUPOS
,	,	, , NUPOS
NAC	NN	nac NN PennPOS
reversed	VBD	reverse VBD PennPOS
the	DT	the dt NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
stimulated	VBN	stimulate VBN PennPOS
alpha-SMA	NN	alpha-SMA NN PennPOS
expression	NN	expression NN PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

CONCLUSION	NN	conclusion NN PennPOS
:	:	: : NUPOS
These	DT	these d NUPOS
results	NNS	result NNS PennPOS
suggest	VBP	suggest VBP PennPOS
that	IN	that cst NUPOS
NAC	NN	nac NN PennPOS
can	MD	can vmb NUPOS
affect	VB	affect VBP PennPOS
the	DT	the dt NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce VBN PennPOS
tissue	NN	tissue NN PennPOS
remodeling	NN	remodeling NN PennPOS
or	CC	or cc NUPOS
fibrotic	JJ	fibrotic JJ PennPOS
process	NN	process NN PennPOS
in	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
.	.	. . NUPOS

