Th1/Th2	NN	Th1/Th2 NN PennPOS
cytokine	NN	cytokine NN PennPOS
gene	NN	gene NN PennPOS
polymorphisms	NNS	polymorphism NNS PennPOS
in	IN	in IN PennPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
investigated	VBD	investigate VBD PennPOS
30	CD	30 crd NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
103	CD	103 CD PennPOS
healthy	JJ	healthy JJ PennPOS
volunteers	NNS	volunteer NNS PennPOS
for	IN	for c-acp NUPOS
the	DT	the dt NUPOS
cytokines	NNS	cytokine NNS PennPOS
polymorphisms	NNS	polymorphism NNS PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
IL-1alpha	NN	IL-1alpha NN PennPOS
,	,	, , NUPOS
IL-1beta	NN	IL-1beta NN PennPOS
,	,	, , NUPOS
IL-1R	NN	IL-1R NN PennPOS
,	,	, , NUPOS
IL-1RA	NN	IL-1RA NN PennPOS
,	,	, , NUPOS
IL-2	NN	IL-2 NN PennPOS
,	,	, , NUPOS
IL-4	NN	IL-4 NN PennPOS
,	,	, , NUPOS
IL-6	NN	IL-6 NN PennPOS
,	,	, , NUPOS
IL-10	NN	IL-10 NN PennPOS
,	,	, , NUPOS
IL-12	NN	IL-12 NN PennPOS
,	,	, , NUPOS
tumor-necrosis-factor-alpha	NN	tumor-necrosis-factor-alpha NN PennPOS
,	,	, , NUPOS
interferon-gamma	NN	interferon-gamma NN PennPOS
,	,	, , NUPOS
transforming-growth-factor-beta	NN	transforming-growth-factor-beta NN PennPOS
,	,	, , NUPOS
IL-1beta	NN	IL-1beta NN PennPOS
,	,	, , NUPOS
IL-2	NN	IL-2 NN PennPOS
,	,	, , NUPOS
IL-4	NN	IL-4 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
IL-4RA	NN	IL-4RA NN PennPOS
genes	NNS	gene NNS PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
strongest	JJS	strong JJS PennPOS
correlation	NN	correlation NN PennPOS
of	IN	of pp-f NUPOS
a	DT	a dt NUPOS
genotype	NN	genotype NN PennPOS
with	IN	with pp NUPOS
the	DT	the dt NUPOS
disease	NN	disease NN PennPOS
was	VBD	be vbd NUPOS
found	VBN	find VBN PennPOS
for	IN	for c-acp NUPOS
gene	NN	gene NN PennPOS
polymorphisms	NNS	polymorphism NNS PennPOS
at	IN	at pp NUPOS
the	DT	the dt NUPOS
promotor	NN	promotor NN PennPOS
region	NN	region NN PennPOS
of	IN	of pp-f NUPOS
IL-4	NN	IL-4 NN PennPOS
,	,	, , NUPOS
where	WRB	where c-crq NUPOS
the	DT	the dt NUPOS
CT	NN	ct NN PennPOS
genotypes	NNS	genotype NNS PennPOS
at	IN	at pp NUPOS
the	DT	the dt NUPOS
positions	NNS	position NNS PennPOS
(	(	( ( NUPOS
-590	CD	-590 CD PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
(	(	( ( NUPOS
-33	CD	-33 CD PennPOS
)	)	) ) NUPOS
were	VBD	be vbd NUPOS
more	JJR	many JJR PennPOS
frequent	JJ	frequent JJ PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
IPF	NN	IPF NN PennPOS
group	NN	group NN PennPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.0001	CD	0.0001 CD PennPOS
,	,	, , NUPOS
P	NN	p NN PennPOS
(	(	( ( NUPOS
corr	NN	Corr np1 NUPOS
)	)	) ) NUPOS
<	JJR	< JJR PennPOS
0.0022	CD	0.0022 CD PennPOS
;	:	; : NUPOS
vs	CC	vs CC PennPOS
P	NN	p NN PennPOS
<	VBG	< VBG PennPOS
0.0001	CD	0.0001 CD PennPOS
,	,	, , NUPOS
P	NN	p NN PennPOS
(	(	( ( NUPOS
corr	NN	Corr np1 NUPOS
)	)	) ) NUPOS
<	JJR	< JJR PennPOS
0.0022	CD	0.0022 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Our	PRP$	our po12 NUPOS
results	NNS	result NNS PennPOS
support	VBP	support VBP PennPOS
the	DT	the dt NUPOS
idea	NN	idea NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
pathogenic	JJ	pathogenic JJ PennPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
cytokine	NN	cytokine NN PennPOS
gene	NN	gene NN PennPOS
polymorphisms	NNS	polymorphism NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
etiology	NN	etiology NN PennPOS
and	CC	and cc NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
,	,	, , NUPOS
with	IN	with pp NUPOS
emphasize	VBP	emphasize VBP PennPOS
on	IN	on IN PennPOS
the	DT	the dt NUPOS
IL-4	NN	IL-4 NN PennPOS
promotor	NN	promotor NN PennPOS
gene	NN	gene NN PennPOS
polymorphisms	NNS	polymorphism NNS PennPOS
.	.	. . NUPOS

