Overproduction	NN	overproduction NN PennPOS
of	IN	of pp-f NUPOS
collagen	NN	collagen NN PennPOS
and	CC	and cc NUPOS
diminished	VBD	diminish VBD PennPOS
SOCS1	NN	SOCS1 NN PennPOS
expression	NN	expression NN PennPOS
are	VBP	be vbb NUPOS
causally	RB	causal RB PennPOS
linked	VBN	link VBN PennPOS
in	IN	in IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
from	IN	from pp NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
chronic	JJ	chronic JJ PennPOS
,	,	, , NUPOS
progressive	JJ	progressive JJ PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
often	RB	often av NUPOS
fatal	JJ	fatal JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
disorder	NN	disorder NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
its	PRP$	its po31 NUPOS
pathology	NN	pathology NN PennPOS
is	VBZ	be vbz NUPOS
characterized	VBN	characterize VBN PennPOS
by	IN	by IN PennPOS
parenchymal	JJ	parenchymal JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

To	TO	to p-acp NUPOS
investigate	VB	investigate VBP PennPOS
the	DT	the dt NUPOS
characteristics	NNS	characteristic NNS PennPOS
of	IN	of pp-f NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
obtained	VBD	obtain VBD PennPOS
eight	CD	eight crd NUPOS
fibroblast	NN	fibroblast NN PennPOS
cell	NN	cell NN PennPOS
lines	NNS	line NNS PennPOS
from	IN	from pp NUPOS
lungs	NNS	lung NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
eight	CD	eight crd NUPOS
lines	NNS	line NNS PennPOS
from	IN	from pp NUPOS
normal	JJ	normal JJ PennPOS
lungs	NNS	lung NNS PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
found	VBD	find VBD PennPOS
that	IN	that cst NUPOS
the	DT	the dt NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
from	IN	from pp NUPOS
IPF	NN	IPF NN PennPOS
spontaneously	RB	spontaneous av-j NUPOS
produced	VBD	produce VBD PennPOS
higher	JJR	high JJR PennPOS
amounts	NNS	amount NNS PennPOS
of	IN	of pp-f NUPOS
type	NN	type NN PennPOS
I	CD	i crd NUPOS
collagen	NN	collagen NN PennPOS
and	CC	and cc NUPOS
had	VBD	have vhd NUPOS
lower	JJR	low JJR PennPOS
expression	NN	expression NN PennPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
SOCS1	NN	SOCS1 NN PennPOS
than	IN	than cs NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
from	IN	from pp NUPOS
normal	JJ	normal JJ PennPOS
lung	NN	lung NN PennPOS
.	.	. . NUPOS

By	IN	by IN PennPOS
using	VBG	use VBG PennPOS
mouse	NN	mouse NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
demonstrated	VBD	demonstrate VBD PennPOS
the	DT	the dt NUPOS
causal	JJ	causal JJ PennPOS
relationship	NN	relationship NN PennPOS
between	IN	between IN PennPOS
them	PRP	they pno32 NUPOS
:	:	: : NUPOS
the	DT	the dt NUPOS
deficiency	NN	deficiency NN PennPOS
of	IN	of pp-f NUPOS
SOCS1	NN	SOCS1 NN PennPOS
in	IN	in IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
resulted	VBD	result VBD PennPOS
