Secreted	VBN	secrete VBN PennPOS
protein	NN	protein NN PennPOS
acidic	JJ	acidic JJ PennPOS
and	CC	and cc NUPOS
rich	JJ	rich JJ PennPOS
in	IN	in IN PennPOS
cysteine	NN	cysteine NN PennPOS
(	(	( ( NUPOS
SPARC	NN	sparc NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
upregulated	VBN	upregulate VBN PennPOS
by	IN	by IN PennPOS
transforming	VBG	transform VBG PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
(	(	( ( NUPOS
TGF	NN	tgf NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
b	NN	b NN PennPOS
and	CC	and cc NUPOS
is	VBZ	be vbz NUPOS
required	VBN	require VBN PennPOS
for	IN	for c-acp NUPOS
TGF-b-induced	JJ	tgf-b-induced JJ PennPOS
hydrogen	NN	hydrogen NN PennPOS
peroxide	NN	peroxide NN PennPOS
production	NN	production NN PennPOS
in	IN	in IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

BACKGROUND	NN	background NN PennPOS
:	:	: : NUPOS
Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
poorly	RB	poor av-j NUPOS
understood	VBN	understand VBN PennPOS
progressive	JJ	progressive JJ PennPOS
disease	NN	disease NN PennPOS
characterized	VBN	characterize VBN PennPOS
by	IN	by IN PennPOS
the	DT	the dt NUPOS
recurrent	JJ	recurrent JJ PennPOS
damage	NN	damage NN PennPOS
of	IN	of pp-f NUPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
as	IN	as c-acp NUPOS
inappropriate	JJ	inappropriate JJ PennPOS
expansion	NN	expansion NN PennPOS
and	CC	and cc NUPOS
activation	NN	activation NN PennPOS
of	IN	of pp-f NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
resulting	VBG	result VBG PennPOS
in	IN	in IN PennPOS
pronounced	JJ	pronounced JJ PennPOS
extracellular	JJ	extracellular JJ PennPOS
matrix	NN	matrix NN PennPOS
(	(	( ( NUPOS
ECM	NN	ecm NN PennPOS
)	)	) ) NUPOS
deposition	NN	deposition NN PennPOS
.	.	. . NUPOS

Although	IN	although cs NUPOS
recent	JJ	recent JJ PennPOS
studies	NNS	study NNS PennPOS
have	VBP	have vhb NUPOS
indicated	VBN	indicate VBN PennPOS
the	DT	the dt NUPOS
involvement	NN	involvement NN PennPOS
of	IN	of pp-f NUPOS
secreted-protein-acidic-and-rich-in-cysteine	NN	secreted-protein-acidic-and-rich-in-cysteine NN PennPOS
(	(	( ( NUPOS
SPARC	NN	sparc NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
a	DT	a dt NUPOS
matricellular	JJ	matricellular JJ PennPOS
protein	NN	protein NN PennPOS
regulating	VBG	regulate VBG PennPOS
ECM	NN	ecm NN PennPOS
deposition	NN	deposition NN PennPOS
,	,	, , NUPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
fibrosis	NN	fibrosis NN PennPOS
,	,	, , NUPOS
factors	NNS	factor NNS PennPOS
regulating	VBG	regulate VBG PennPOS
SPARC	NN	sparc NN PennPOS
expression	NN	expression NN PennPOS
or	CC	or cc NUPOS
roles	NNS	role NNS PennPOS
of	IN	of pp-f NUPOS
SPARC	NNP	sparc NN PennPOS
in	IN	in IN PennPOS
fibrosis	NN	fibrosis NN PennPOS
have	VBP	have vhb NUPOS
not	RB	not xx NUPOS
been	VBN	be vbn NUPOS
fully	RB	full av-j NUPOS
elucidated	VBN	elucidate VBN PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
Among	IN	among IN PennPOS
the	DT	the dt NUPOS
profibrotic	JJ	profibrotic JJ PennPOS
factors	NNS	factor NNS PennPOS
examined	VBN	examine VBN PennPOS
in	IN	in IN PennPOS
cultured	VBN	culture vvn NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
showed	VBD	show VBN PennPOS
that	IN	that cst NUPOS
SPARC	NN	sparc NN PennPOS
expression	NN	expression NN PennPOS
was	VBD	be vbd NUPOS
upregulated	VBN	upregulate VBN PennPOS
mainly	RB	main av-j NUPOS
by	IN	by IN PennPOS
transforming	VBG	transform VBG PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
(	(	( ( NUPOS
TGF	NN	tgf NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
b	NN	b NN PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
also	RB	also av NUPOS
showed	VBD	show VBN PennPOS
that	IN	that cst NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
SPARC	NNP	sparc NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lung	NN	lung NN PennPOS
was	VBD	be vbd NUPOS
upregulated	VBN	upregulate VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
murine	JJ	murine JJ PennPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
model	NN	model NN PennPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
was	VBD	be vbd NUPOS
inhibited	VBN	inhibit VBN PennPOS
by	IN	by IN PennPOS
TGF-b	NN	TGF-b NN PennPOS
receptor	NN	receptor NN PennPOS
I	PRP	i pns11 NUPOS
inhibitor	NN	inhibitor NN PennPOS
.	.	. . NUPOS

