Mechanisms	NNS	mechanism NNS PennPOS
of	IN	of pp-f NUPOS
fibrosis	NN	fibrosis NN PennPOS
in	IN	in IN PennPOS
coal	NN	coal NN PennPOS
workers	NNS	worker NNS PennPOS
'	POS	' POS PennPOS
pneumoconiosis	NN	pneumoconiosis NN PennPOS
.	.	. . NUPOS

Increased	VBN	increase VBN PennPOS
production	NN	production NN PennPOS
of	IN	of pp-f NUPOS
platelet-derived	JJ	platelet-derived JJ PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
,	,	, , NUPOS
insulin-like	JJ	insulin-like JJ PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
type	NN	type NN PennPOS
I	CD	i crd NUPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
transforming-growth-factor-beta	NN	transforming-growth-factor-beta NN PennPOS
and	CC	and cc NUPOS
relationship	NN	relationship NN PennPOS
to	TO	to p-acp NUPOS
disease	NN	disease NN PennPOS
severity	NN	severity NN PennPOS
.	.	. . NUPOS

To	TO	to p-acp NUPOS
identify	VB	identify VBP PennPOS
the	DT	the dt NUPOS
clinical	JJ	clinical JJ PennPOS
relevance	NN	relevance NN PennPOS
of	IN	of pp-f NUPOS
cytokines	NNS	cytokine NNS PennPOS
involved	VBN	involve VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
development	NN	development NN PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
observed	VBN	observe VBN PennPOS
in	IN	in IN PennPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
coal	NN	coal NN PennPOS
workers	NNS	worker NNS PennPOS
'	POS	' POS PennPOS
pneumoconiosis	NN	pneumoconiosis NN PennPOS
(	(	( ( NUPOS
CWP	NN	CWP NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
investigated	VBD	investigate VBD PennPOS
the	DT	the dt NUPOS
BAL	NN	bal NN PennPOS
fluid	NN	fluid NN PennPOS
contents	NNS	content NNS PennPOS
and	CC	and cc NUPOS
AM	VBP	be vbm NUPOS
secretions	NNS	secretion NNS PennPOS
of	IN	of pp-f NUPOS
three	CD	three crd NUPOS
mediators	NNS	mediator NNS PennPOS
that	WDT	that WDT PennPOS
modulate	VBP	modulate VBP PennPOS
fibroblast	NN	fibroblast NN PennPOS
growth	NN	growth NN PennPOS
:	:	: : NUPOS
platelet-derived	JJ	platelet-derived JJ PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
(	(	( ( NUPOS
PDGF	NN	PDGF NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
Type	NN	type NN PennPOS
I	CD	i crd NUPOS
insulin-like	JJ	insulin-like JJ PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
(	(	( ( NUPOS
IGF-I	NN	IGF-I NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
transforming	VBG	transform VBG PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
Type	NN	type NN PennPOS
beta	NN	beta NN PennPOS
(	(	( ( NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Our	PRP$	our po12 NUPOS
study	NN	study NN PennPOS
population	NN	population NN PennPOS
consisted	VBD	consist VBD PennPOS
of	IN	of pp-f NUPOS
25	CD	25 crd NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
CWP	NN	CWP NN PennPOS
(	(	( ( NUPOS
16	CD	16 crd NUPOS
simple	JJ	simple JJ PennPOS
pneumoconiosis	NN	pneumoconiosis NN PennPOS
,	,	, , NUPOS
SP	NN	sp NN PennPOS
,	,	, , NUPOS
9	CD	9 crd NUPOS
progressive	JJ	progressive JJ PennPOS
massive	JJ	massive JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
,	,	, , NUPOS
PMF	NN	PMF NN PennPOS
,	,	, , NUPOS
9	CD	9 crd NUPOS
control	NN	control NN PennPOS
subjects	NNS	subject NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
6	CD	6 crd NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
fibrotic	JJ	fibrotic JJ PennPOS
potency	NN	potency NN PennPOS
of	IN	of pp-f NUPOS
AM	NNP	am NN PennPOS
supernatants	NNS	supernatant NNS PennPOS
was	VBD	be vbd NUPOS
also	RB	also av NUPOS
tested	VBN	test VBN PennPOS
for	IN	for c-acp NUPOS
their	PRP$	their po32 NUPOS
ability	NN	ability NN PennPOS
to	TO	to p-acp NUPOS
promote	VB	promote VBP PennPOS
the	DT	the dt NUPOS
growth	NN	growth NN PennPOS
of	IN	of pp-f NUPOS
a	DT	a dt NUPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
fibroblast	NN	fibroblast NN PennPOS
cell	NN	cell NN PennPOS
line	NN	line NN PennPOS
appreciated	VBN	appreciate vvn NUPOS
by	IN	by IN PennPOS
[	(	[ ( NUPOS
3H	NN	3H NN PennPOS
]	)	] ) NUPOS
-	:	- : NUPOS
thymidine	NN	thymidine NN PennPOS
incorporation	NN	incorporation NN PennPOS
.	.	. . NUPOS

PDGF	NN	PDGF NN PennPOS
and	CC	and cc NUPOS
IGF-I	NN	IGF-I NN PennPOS
concentrations	NNS	concentration NNS PennPOS
were	VBD	be vbd NUPOS
increased	VBN	increase VBN PennPOS
in	IN	in IN PennPOS
BAL	NN	bal NN PennPOS
fluids	NNS	fluid NNS PennPOS
of	IN	of pp-f NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
PMF	NN	PMF NN PennPOS
compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
SP	NN	sp NN PennPOS
and	CC	and cc NUPOS
control	JJ	control JJ PennPOS
subjects	NNS	subject NNS PennPOS
,	,	, , NUPOS
whereas	IN	whereas cs NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
concentration	NN	concentration NN PennPOS
was	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
higher	JJR	high JJR PennPOS
in	IN	in IN PennPOS
BAL	NN	bal NN PennPOS
fluid	NN	fluid NN PennPOS
of	IN	of pp-f NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
SP	NN	sp NN PennPOS
compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
PMF	NN	PMF NN PennPOS
and	CC	and cc NUPOS
control	JJ	control JJ PennPOS
subjects	NNS	subject NNS PennPOS
.	.	. . NUPOS

PDGF	NN	PDGF NN PennPOS
,	,	, , NUPOS
IGF-I	NN	IGF-I NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
concentrations	NNS	concentration NNS PennPOS
in	IN	in IN PennPOS
AM	NNP	am NN PennPOS
supernatants	NNS	supernatant NNS PennPOS
followed	VBD	follow VBD PennPOS
the	DT	the dt NUPOS
same	JJ	same JJ PennPOS
profile	NN	profile NN PennPOS
observed	VBN	observe VBN PennPOS
in	IN	in IN PennPOS
BAL	NN	bal NN PennPOS
fluids	NNS	fluid NNS PennPOS
,	,	, , NUPOS
suggesting	VBG	suggest VBG PennPOS
that	IN	that cst NUPOS
AM	NNP	am NN PennPOS
is	VBZ	be vbz NUPOS
one	CD	one crd NUPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
main	JJ	main JJ PennPOS
cell	NN	cell NN PennPOS
sources	NNS	source NNS PennPOS
of	IN	of pp-f NUPOS
PDGF	NN	PDGF NN PennPOS
,	,	, , NUPOS
IGF-I	NN	IGF-I NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lung	NN	lung NN PennPOS
of	IN	of pp-f NUPOS
pneumoconiotic	JJ	pneumoconiotic JJ PennPOS
patients	NNS	patient NNS PennPOS
.	.	. . NUPOS

After	IN	after c-acp NUPOS
treatment	NN	treatment NN PennPOS
by	IN	by IN PennPOS
acidification	NN	acidification NN PennPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
activated	VBD	activate VBD PennPOS
the	DT	the dt NUPOS
latent	JJ	latent JJ PennPOS
form	NN	form NN PennPOS
of	IN	of pp-f NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
,	,	, , NUPOS
AM	VBP	be vbm NUPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
SP	NN	sp NN PennPOS
induced	VBD	induce VBD PennPOS
an	DT	a dt NUPOS
inhibition	NN	inhibition NN PennPOS
