[	(	[ ( NUPOS
Potential	JJ	potential JJ PennPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
cytokines	NNS	cytokine NNS PennPOS
in	IN	in IN PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
]	)	] ) NUPOS
.	.	. . NUPOS

OBJECTIVE	NN	objective NN PennPOS
:	:	: : NUPOS
To	TO	to p-acp NUPOS
investigate	VB	investigate VBP PennPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
platelet-derived	JJ	platelet-derived JJ PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
(	(	( ( NUPOS
PDGF	NN	PDGF NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
transforming-growth-factor-beta	NN	transforming-growth-factor-beta NN PennPOS
(	(	( ( NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
transbronchial	JJ	transbronchial JJ PennPOS
lung	NN	lung NN PennPOS
biopsy	NN	biopsy NN PennPOS
(	(	( ( NUPOS
TBLB	NN	TBLB NN PennPOS
)	)	) ) NUPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
study	VB	study VBP PennPOS
the	DT	the dt NUPOS
potential	JJ	potential JJ PennPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
cytokines	NNS	cytokine NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
development	NN	development NN PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
The	DT	the dt NUPOS
immunohistochemical	JJ	immunohistochemical JJ PennPOS
methods	NNS	method NNS PennPOS
were	VBD	be vbd NUPOS
used	VBN	use VBN PennPOS
to	TO	to p-acp NUPOS
determine	VB	determine VBP PennPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
