Data	NNS	datum NNS PennPOS
on	IN	on IN PennPOS
CUX1	NN	CUX1 NN PennPOS
isoforms	NNS	isoform NNS PennPOS
in	IN	in IN PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
lung	NN	lung NN PennPOS
and	CC	and cc NUPOS
systemic	JJ	systemic JJ PennPOS
sclerosis	NN	sclerosis NN PennPOS
skin	NN	skin NN PennPOS
tissue	NN	tissue NN PennPOS
sections	NNS	section NNS PennPOS
.	.	. . NUPOS

UNASSIGNED	NNP	UNASSIGNED NNP PennPOS
:	:	: : NUPOS
This	DT	this d NUPOS
data	NN	data NN PennPOS
article	NN	article NN PennPOS
contains	VBZ	contain VBZ PennPOS
complementary	JJ	complementary JJ PennPOS
figures	NNS	figure NNS PennPOS
related	VBN	relate VBN PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
research	NN	research NN PennPOS
article	NN	article NN PennPOS
entitled	VBN	entitle vvn NUPOS
,	,	, , NUPOS
``	``	`` `` NONE
Transforming-growth-factor-b-induced	JJ	transforming-growth-factor-b-induced JJ PennPOS
CUX1	NN	CUX1 NN PennPOS
isoforms	NNS	isoform NNS PennPOS
are	VBP	be vbb NUPOS
associated	VBN	associate VBN PennPOS
with	IN	with pp NUPOS
fibrosis	NN	fibrosis NN PennPOS
in	IN	in IN PennPOS
systemic	JJ	systemic JJ PennPOS
sclerosis	NN	sclerosis NN PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
''	''	'' '' NONE
(	(	( ( NUPOS
Ikeda	NNP	Ikeda NNP PennPOS
et	FW	et fw-fr NUPOS
al.	FW	al. FW PennPOS
(	(	( ( NUPOS
2016	CD	2016 CD PennPOS
)	)	) ) NUPOS
[	(	[ ( NUPOS
2	CD	2 crd NUPOS
]	)	] ) NUPOS
,	,	, , NUPOS
http://dx.doi.org/10.1016/j.bbrep.2016.06.022	NN	http://dx.doi.org/10.1016/j.bbrep.2016.06.022 NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
presents	VBZ	present VBZ PennPOS
that	IN	that cst NUPOS
TGF-b	NN	TGF-b NN PennPOS
increased	VBD	increase VBD PennPOS
CUX1	NN	CUX1 NN PennPOS
binding	NN	binding NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
proximal	JJ	proximal JJ PennPOS
promoter	NN	promoter NN PennPOS
and	CC	and cc NUPOS
enhancer	NN	enhancer NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
