Syndecan-2	NN	Syndecan-2 NN PennPOS
exerts	VBZ	exert VBZ PennPOS
antifibrotic	JJ	antifibrotic JJ PennPOS
effects	NNS	effect NNS PennPOS
by	IN	by IN PennPOS
promoting	VBG	promote VBG PennPOS
caveolin-1-mediated	JJ	caveolin-1-mediated JJ PennPOS
transforming-growth-factor-b	NN	transforming-growth-factor-b NN PennPOS
receptor	NN	receptor NN PennPOS
I	PRP	i pns11 NUPOS
internalization	NN	internalization NN PennPOS
and	CC	and cc NUPOS
inhibiting	VBG	inhibit VBG PennPOS
transforming-growth-factor-b1	NN	transforming-growth-factor-b1 NN PennPOS
signaling	NN	signaling NN PennPOS
.	.	. . NUPOS

RATIONALE	NN	rationale NN PennPOS
:	:	: : NUPOS
Alveolar	JJ	alveolar JJ PennPOS
transforming	VBG	transform VBG PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
(	(	( ( NUPOS
TGF	NN	tgf NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
b1	NN	b1 NN PennPOS
signaling	NN	signaling NN PennPOS
and	CC	and cc NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
target	NN	target NN PennPOS
genes	NNS	gene NNS PennPOS
are	VBP	be vbb NUPOS
increased	VBN	increase VBN PennPOS
in	IN	in IN PennPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
in	IN	in IN PennPOS
animal	NN	animal NN PennPOS
models	NNS	model NNS PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Internalization	NN	internalization NN PennPOS
and	CC	and cc NUPOS
degradation	NN	degradation NN PennPOS
of	IN	of pp-f NUPOS
TGF-b	NN	TGF-b NN PennPOS
receptor	NN	receptor NN PennPOS
TbRI	NN	TbRI NN PennPOS
inhibits	VBZ	inhibit VBZ PennPOS
TGF-b	NN	TGF-b NN PennPOS
signaling	NN	signaling NN PennPOS
and	CC	and cc NUPOS
could	MD	can vmd NUPOS
attenuate	VB	attenuate VBP PennPOS
development	NN	development NN PennPOS
of	IN	of pp-f NUPOS
experimental	JJ	experimental JJ PennPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

OBJECTIVES	NNS	objective NNS PennPOS
:	:	: : NUPOS
To	TO	to p-acp NUPOS
demonstrate	VB	demonstrate VBP PennPOS
that	IN	that cst NUPOS
after	IN	after c-acp NUPOS
experimental	JJ	experimental JJ PennPOS
lung	NN	lung NN PennPOS
injury	NN	injury NN PennPOS
,	,	, , NUPOS
human	JJ	human JJ PennPOS
syndecan-2	NN	syndecan-2 NN PennPOS
confers	VBZ	confer VBZ PennPOS
antifibrotic	JJ	antifibrotic JJ PennPOS
effects	NNS	effect NNS PennPOS
by	IN	by IN PennPOS
inhibiting	VBG	inhibit VBG PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
signaling	NN	signaling NN PennPOS
in	IN	in IN PennPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
Microarray	NN	Microarray NN PennPOS
assays	NNS	assay n2 NUPOS
were	VBD	be vbd NUPOS
performed	VBN	perform VBN PennPOS
to	TO	to p-acp NUPOS
identify	VB	identify VBP PennPOS
genes	NNS	gene NNS PennPOS
differentially	RB	differential RB PennPOS
expressed	VBN	express VBN PennPOS
in	IN	in IN PennPOS
alveolar	JJ	alveolar JJ PennPOS
macrophages	NNS	macrophage NNS PennPOS
of	IN	of pp-f NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
versus	CC	versus pp NUPOS
control	NN	control NN PennPOS
subjects	NNS	subject NNS PennPOS
.	.	. . NUPOS

Transgenic	JJ	transgenic JJ PennPOS
mice	NNS	mouse n2 NUPOS
that	WDT	that WDT PennPOS
constitutively	RB	constitutive RB PennPOS
overexpress	VBP	overexpress VBP PennPOS
human	JJ	human JJ PennPOS
syndecan-2	NN	syndecan-2 NN PennPOS
