Discovery	NNP	discovery NN PennPOS
and	CC	and cc NUPOS
validation	NN	validation NN PennPOS
of	IN	of pp-f NUPOS
extracellular/circulating	VBG	extracellular/circulating VBG PennPOS
microRNAs	NNS	microrna NNS PennPOS
during	IN	during pp NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
disease	NN	disease NN PennPOS
progression	NN	progression NN PennPOS
.	.	. . NUPOS

BACKGROUND	NN	background NN PennPOS
:	:	: : NUPOS
Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
chronic	JJ	chronic JJ PennPOS
fibrosing	NN	fibrosing NN PennPOS
interstitial	JJ	interstitial JJ PennPOS
lung	NN	lung NN PennPOS
disease	NN	disease NN PennPOS
of	IN	of pp-f NUPOS
unknown	JJ	unknown JJ PennPOS
etiology	NN	etiology NN PennPOS
that	WDT	that WDT PennPOS
is	VBZ	be vbz NUPOS
currently	RB	current av-j NUPOS
untreatable	JJ	untreatable JJ PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
this	DT	this d NUPOS
study	NN	study NN PennPOS
we	PRP	we pns12 NUPOS
aim	VBP	aim VBP PennPOS
to	TO	to p-acp NUPOS
characterize	VB	characterize VBP PennPOS
the	DT	the dt NUPOS
potential	NN	potential NN PennPOS
of	IN	of pp-f NUPOS
extracellular/circulating	VBG	extracellular/circulating VBG PennPOS
microRNAs	NNS	microrna NNS PennPOS
(	(	( ( NUPOS
miRNAs	NNS	mirna NNS PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
serum	NN	serum NN PennPOS
as	IN	as c-acp NUPOS
biomarkers	NNS	biomarker NNS PennPOS
for	IN	for c-acp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
Total	JJ	total JJ PennPOS
serum	NN	serum NN PennPOS
RNAs	NNS	rna NNS PennPOS
were	VBD	be vbd NUPOS
isolated	VBN	isolate VBN PennPOS
from	IN	from pp NUPOS
serum	NN	serum NN PennPOS
from	IN	from pp NUPOS
healthy	JJ	healthy JJ PennPOS
control	JJ	control JJ PennPOS
subjects	NNS	subject NNS PennPOS
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
12	CD	12 crd NUPOS
)	)	) ) NUPOS
,	,	, , NUPOS
rapid	JJ	rapid JJ PennPOS
progressive	JJ	progressive JJ PennPOS
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
12	CD	12 crd NUPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
slowly	RB	slow av-j NUPOS
progressive	JJ	progressive JJ PennPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
12	CD	12 crd NUPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Serum	NN	serum NN PennPOS
RNA	NN	rna NN PennPOS
was	VBD	be vbd NUPOS
analyzed	VBN	analyse VBN PennPOS
by	IN	by IN PennPOS
using	VBG	use VBG PennPOS
TaqMan	NNP	TaqMan NNP PennPOS
microRNA	NN	microRNA NN PennPOS
assays	NNS	assay n2 NUPOS
containing	VBG	contain VBG PennPOS
probes	NNS	probe NNS PennPOS
for	IN	for c-acp NUPOS
366	CD	366 crd NUPOS
human	JJ	human JJ PennPOS
miRNAs	NNS	mirna NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
selected	VBN	select VBN PennPOS
findings	NNS	finding n2 NUPOS
were	VBD	be vbd NUPOS
validated	VBN	validate VBN PennPOS
with	IN	with pp NUPOS
quantitative	JJ	quantitative JJ PennPOS
RT-PCR	NN	rt-pcr NN PennPOS
