Matrix	NNP	matrix NN PennPOS
metalloproteinase	NN	metalloproteinase NN PennPOS
3	CD	3 crd NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
mediator	NN	mediator NN PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
may	MD	may vmb NUPOS
be	VB	be vbi NUPOS
triggered	VBN	trigger VBN PennPOS
by	IN	by IN PennPOS
epithelial	JJ	epithelial JJ PennPOS
injury	NN	injury NN PennPOS
that	WDT	that WDT PennPOS
results	VBZ	result VBZ PennPOS
in	IN	in IN PennPOS
aberrant	JJ	aberrant JJ PennPOS
production	NN	production NN PennPOS
of	IN	of pp-f NUPOS
growth	NN	growth NN PennPOS
factors	NNS	factor NNS PennPOS
,	,	, , NUPOS
cytokines	NNS	cytokine NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
proteinases	NNS	proteinase NNS PennPOS
,	,	, , NUPOS
leading	VBG	lead VBG PennPOS
to	TO	to p-acp NUPOS
proliferation	NN	proliferation NN PennPOS
of	IN	of pp-f NUPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
,	,	, , NUPOS
excess	JJ	excess JJ PennPOS
deposition	NN	deposition NN PennPOS
of	IN	of pp-f NUPOS
collagen	NN	collagen NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
destruction	NN	destruction NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
lung	NN	lung NN PennPOS
architecture	NN	architecture NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
precise	JJ	precise JJ PennPOS
mechanisms	NNS	mechanism NNS PennPOS
and	CC	and cc NUPOS
key	JJ	key JJ PennPOS
signaling	NN	signaling NN PennPOS
mediators	NNS	mediator NNS PennPOS
responsible	JJ	responsible JJ PennPOS
for	IN	for c-acp NUPOS
this	DT	this d NUPOS
aberrant	JJ	aberrant JJ PennPOS
repair	NN	repair NN PennPOS
process	NN	process NN PennPOS
remain	VBP	remain VBP PennPOS
unclear	JJ	unclear JJ PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
assessed	VBD	assess VBD PennPOS
the	DT	the dt NUPOS
importance	NN	importance NN PennPOS
of	IN	of pp-f NUPOS
matrix-metalloproteinase-3	NN	matrix-metalloproteinase-3 NN PennPOS
(	(	( ( NUPOS
