Overexpression	NN	overexpression NN PennPOS
of	IN	of pp-f NUPOS
Sulf2	NN	Sulf2 NN PennPOS
in	IN	in IN PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Previously	RB	previous av-j NUPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
have	VBP	have vhb NUPOS
shown	VBN	show VBN PennPOS
that	IN	that cst NUPOS
heparan	NN	heparan NN PennPOS
sulfate	NN	sulfate NN PennPOS
(	(	( ( NUPOS
HS	NN	HS NN PennPOS
)	)	) ) NUPOS
6-O-endosulfatase	NN	6-O-endosulfatase NN PennPOS
1	CD	1 crd NUPOS
(	(	( ( NUPOS
Sulf1	NN	Sulf1 NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
transforming-growth-factor-b1	NN	transforming-growth-factor-b1 NN PennPOS
(	(	( ( NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
responsive	JJ	responsive JJ PennPOS
gene	NN	gene NN PennPOS
in	IN	in IN PennPOS
normal	JJ	normal JJ PennPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
and	CC	and cc NUPOS
functions	NNS	function NNS PennPOS
as	IN	as c-acp NUPOS
a	DT	a dt NUPOS
negative	JJ	negative JJ PennPOS
feedback	NN	feedback NN PennPOS
regulator	NN	regulator NN PennPOS
of	IN	of pp-f NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
and	CC	and cc NUPOS
that	IN	that cst NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
induces	VBZ	induce VBZ PennPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
Sulf1	NN	Sulf1 NN PennPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
as	IN	as c-acp NUPOS
that	DT	that d NUPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
closely	RB	close av-j NUPOS
related	JJ	related JJ PennPOS
Sulf2	NN	Sulf2 NN PennPOS
in	IN	in IN PennPOS
a	DT	a dt NUPOS
murine	JJ	murine JJ PennPOS
model	NN	model NN PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
this	DT	this d NUPOS
study	NN	study NN PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
focused	VBD	focus VBD PennPOS
on	IN	on IN PennPOS
the	DT	the dt NUPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
Sulf2	NN	Sulf2 NN PennPOS
in	IN	in IN PennPOS
modulating	VBG	modulate VBG PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
function	NN	function NN PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
development	NN	development NN PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
found	VBD	find VBD PennPOS
that	IN	that cst NUPOS
