[	(	[ ( NUPOS
Different	JJ	different JJ PennPOS
cytokine	NN	cytokine NN PennPOS
profiles	NNS	profile NNS PennPOS
in	IN	in IN PennPOS
usual	JJ	usual JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonia	NN	pneumonia NN PennPOS
and	CC	and cc NUPOS
nonspecific	JJ	nonspecific JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonia	NN	pneumonia NN PennPOS
]	)	] ) NUPOS
.	.	. . NUPOS

OBJECTIVE	NN	objective NN PennPOS
:	:	: : NUPOS
To	TO	to p-acp NUPOS
study	VB	study VBP PennPOS
the	DT	the dt NUPOS
distribution	NN	distribution NN PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
significance	NN	significance NN PennPOS
of	IN	of pp-f NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
,	,	, , NUPOS
b-FGF	NN	b-FGF NN PennPOS
,	,	, , NUPOS
IL-8	NN	IL-8 NN PennPOS
,	,	, , NUPOS
IL-13	NN	IL-13 NN PennPOS
and	CC	and cc NUPOS
IFN-gamma	NN	IFN-gamma NN PennPOS
in	IN	in IN PennPOS
different	JJ	different JJ PennPOS
lung	NN	lung NN PennPOS
tissue	NN	tissue NN PennPOS
compartments	NNS	compartment NNS PennPOS
in	IN	in IN PennPOS
usual	JJ	usual JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonia/idiopathic	JJ	pneumonia/idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
UIP/IPF	NN	UIP/IPF NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
nonspecific	JJ	nonspecific JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonia	NN	pneumonia NN PennPOS
(	(	( ( NUPOS
NSIP	NN	NSIP NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
Specimens	NNS	specimen NNS PennPOS
were	VBD	be vbd NUPOS
obtained	VBN	obtain VBN PennPOS
by	IN	by IN PennPOS
open	JJ	open JJ PennPOS
or	CC	or cc NUPOS
video-assisted	JJ	video-assisted JJ PennPOS
thoracoscopic	JJ	thoracoscopic JJ PennPOS
lung	NN	lung NN PennPOS
biopsy	NN	biopsy NN PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
UIP	NN	UIP NN PennPOS
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
5	CD	5 crd NUPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
NSIP	NN	NSIP NN PennPOS
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
8	CD	8 crd NUPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Control	NNP	control NN PennPOS
specimens	NNS	specimen NNS PennPOS
were	VBD	be vbd NUPOS
obtained	VBN	obtain VBN PennPOS
by	IN	by IN PennPOS
surgical	JJ	surgical JJ PennPOS
lobectomy	NN	lobectomy NN PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
primary	JJ	primary JJ PennPOS
lung	NN	lung NN PennPOS
cancer	NN	cancer NN PennPOS
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
5	CD	5 crd NUPOS
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
distribution	NN	distribution NN PennPOS
of	IN	of pp-f NUPOS
these	DT	these d NUPOS
cytokines	NNS	cytokine NNS PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
tissues	NNS	tissue NNS PennPOS
was	VBD	be vbd NUPOS
observed	VBN	observe VBN PennPOS
by	IN	by IN PennPOS
semi-quantitative	JJ	semi-quantitative JJ PennPOS
method	NN	method NN PennPOS
using	VBG	use VBG PennPOS
immunohistochemical	JJ	immunohistochemical JJ PennPOS
staining	NN	staining NN PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
,	,	, , NUPOS
IL-8	NN	IL-8 NN PennPOS
and	CC	and cc NUPOS
b-FGF	NN	b-FGF NN PennPOS
were	VBD	be vbd NUPOS
localized	JJ	localized JJ PennPOS
in	IN	in IN PennPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
alveolar	JJ	alveolar JJ PennPOS
macrophages	NNS	macrophage NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
bronchial	JJ	bronchial JJ PennPOS
epithelium	NN	epithelium NN PennPOS
.	.	. . NUPOS

Overall	JJ	overall JJ PennPOS
intensity	NN	intensity NN PennPOS
of	IN	of pp-f NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
,	,	, , NUPOS
IL-8	NN	IL-8 NN PennPOS
and	CC	and cc NUPOS
b-FGF	NN	b-FGF NN PennPOS
expression	NN	expression NN PennPOS
in	IN	in IN PennPOS
UIP	NNP	UIP NNP PennPOS
was	VBD	be vbd NUPOS
stronger	JJR	strong JJR PennPOS
in	IN	in IN PennPOS
comparison	NN	comparison NN PennPOS
with	IN	with pp NUPOS
NSIP	NN	NSIP NN PennPOS
