Activated	VBN	activate VBN PennPOS
MCTC	NN	MCTC NN PennPOS
mast	NN	mast NN PennPOS
cells	NNS	cell NNS PennPOS
infiltrate	VBP	infiltrate VBP PennPOS
diseased	JJ	diseased JJ PennPOS
lung	NN	lung NN PennPOS
areas	NNS	area NNS PennPOS
in	IN	in IN PennPOS
cystic	JJ	cystic JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
and	CC	and cc NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

BACKGROUND	NN	background NN PennPOS
:	:	: : NUPOS
Although	IN	although cs NUPOS
mast	NN	mast NN PennPOS
cells	NNS	cell NNS PennPOS
are	VBP	be vbb NUPOS
regarded	VBN	regard VBN PennPOS
as	IN	as c-acp NUPOS
important	JJ	important JJ PennPOS
regulators	NNS	regulator NNS PennPOS
of	IN	of pp-f NUPOS
inflammation	NN	inflammation NN PennPOS
and	CC	and cc NUPOS
tissue	NN	tissue NN PennPOS
remodelling	NN	remodelling NN PennPOS
,	,	, , NUPOS
their	PRP$	their po32 NUPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
cystic	JJ	cystic JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
CF	NN	cf NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
has	VBZ	have vdz NUPOS
remained	VBN	remain VBN PennPOS
less	JJR	little JJR PennPOS
studied	VBN	study VBN PennPOS
.	.	. . NUPOS

This	DT	this d NUPOS
study	NN	study NN PennPOS
investigates	VBZ	investigate VBZ PennPOS
the	DT	the dt NUPOS
densities	NNS	density NNS PennPOS
and	CC	and cc NUPOS
phenotypes	NNS	phenotype NNS PennPOS
of	IN	of pp-f NUPOS
mast	NN	mast NN PennPOS
cell	NN	cell NN PennPOS
populations	NNS	population NNS PennPOS
in	IN	in IN PennPOS
multiple	JJ	multiple JJ PennPOS
lung	NN	lung NN PennPOS
compartments	NNS	compartment NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
CF	NN	cf NN PennPOS
,	,	, , NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
never	RB	never av-x NUPOS
smoking	NN	smoking NN PennPOS
controls	NNS	control NNS PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
Small	JJ	small JJ PennPOS
airways	NNS	airway NNS PennPOS
,	,	, , NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
vessels	NNS	vessel NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
lung	NN	lung NN PennPOS
parenchyma	NN	parenchyma NN PennPOS
were	VBD	be vbd NUPOS
subjected	VBN	subject VBN PennPOS
to	TO	to p-acp NUPOS
detailed	JJ	detailed JJ PennPOS
immunohistochemical	JJ	immunohistochemical JJ PennPOS
analyses	NNS	analysis NNS PennPOS
using	VBG	use VBG PennPOS
lungs	NNS	lung NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
CF	NN	cf NN PennPOS
(	(	( ( NUPOS
20	CD	20 crd NUPOS
lung	NN	lung NN PennPOS
regions	NNS	region NNS PennPOS
;	:	; : NUPOS
5	CD	5 crd NUPOS
patients	NNS	patient NNS PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
IPF	NN	IPF NN PennPOS
(	(	( ( NUPOS
21	CD	21 crd NUPOS
regions	NNS	region NNS PennPOS
;	:	; : NUPOS
7	CD	7 crd NUPOS
patients	NNS	patient NNS PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
controls	NNS	control NNS PennPOS
(	(	( ( NUPOS
16	CD	16 crd NUPOS
regions	NNS	region NNS PennPOS
;	:	; : NUPOS
8	CD	8 crd NUPOS
subjects	NNS	subject NNS PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
each	DT	each d NUPOS
compartment	NN	compartment NN PennPOS
the	DT	the dt NUPOS
densities	NNS	density NNS PennPOS
and	CC	and cc NUPOS
distribution	NN	distribution NN PennPOS
of	IN	of pp-f NUPOS
MCT	NNP	MCT NN PennPOS
and	CC	and cc NUPOS
MCTC	NNP	MCTC NNP PennPOS
mast	NN	mast NN PennPOS
cell	NN	cell NN PennPOS
populations	NNS	population NNS PennPOS
were	VBD	be vbd NUPOS
studied	VBN	study VBN PennPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
as	IN	as c-acp NUPOS
the	DT	the dt NUPOS
mast	NN	mast NN PennPOS
cell	NN	cell NN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
IL-6	NN	IL-6 NN PennPOS
and	CC	and cc NUPOS
TGF-b	NN	TGF-b NN PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
In	IN	in IN PennPOS
the	DT	the dt NUPOS
alveolar	JJ	alveolar JJ PennPOS
parenchyma	NN	parenchyma NN PennPOS
in	IN	in IN PennPOS
lungs	NNS	lung NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
CF	NN	cf NN PennPOS
,	,	, , NUPOS
MCTC	NN	MCTC NN PennPOS
numbers	NNS	number NNS PennPOS
increased	VBN	increase VBN PennPOS
in	IN	in IN PennPOS
areas	NNS	area NNS PennPOS
showing	VBG	show VBG PennPOS
cellular	JJ	cellular JJ PennPOS
inflammation	NN	inflammation NN PennPOS
or	CC	or cc NUPOS
fibrosis	NN	fibrosis NN PennPOS
compared	VBN	compare VBN PennPOS
to	TO	to p-acp NUPOS
controls	NNS	control NNS PennPOS
.	.	. . NUPOS

Apart	RB	apart av NUPOS
from	IN	from pp NUPOS
an	DT	a dt NUPOS
altered	JJ	altered JJ PennPOS
balance	NN	balance NN PennPOS
between	IN	between IN PennPOS
MCTC	NNP	MCTC NNP PennPOS
and	CC	and cc NUPOS
MCT	NNP	MCT NN PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
mast	NN	mast NN PennPOS
cell	NN	cell NN PennPOS
in	IN	in IN PennPOS
CF	NN	cf NN PennPOS
lungs	NNS	lung NNS PennPOS
showed	VBD	show VBN PennPOS
elevated	JJ	elevated JJ PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
IL-6	NN	IL-6 NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
CF	NN	cf NN PennPOS
,	,	, , NUPOS
a	DT	a dt NUPOS
decrease	NN	decrease NN PennPOS
in	IN	in IN PennPOS
total	JJ	total JJ PennPOS
mast	NN	mast NN PennPOS
cell	NN	cell NN PennPOS
numbers	NNS	number NNS PennPOS
was	VBD	be vbd NUPOS
observed	VBN	observe VBN PennPOS
in	IN	in IN PennPOS
small	JJ	small JJ PennPOS
airways	NNS	airway NNS PennPOS
and	CC	and cc NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
vessels	NNS	vessel NNS PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
,	,	, , NUPOS
a	DT	a dt NUPOS
significantly	RB	significant av-j NUPOS
elevated	JJ	elevated JJ PennPOS
MCTC	NN	MCTC NN PennPOS
density	NN	density NN PennPOS
was	VBD	be vbd NUPOS
present	JJ	present JJ PennPOS
in	IN	in IN PennPOS
fibrotic	JJ	fibrotic JJ PennPOS
areas	NNS	area NNS PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
alveolar	JJ	alveolar JJ PennPOS
parenchyma	NN	parenchyma NN PennPOS
with	IN	with pp NUPOS
increased	VBN	increase VBN PennPOS
mast	NN	mast NN PennPOS
cell	NN	cell NN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
TGF-b	NN	TGF-b NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
total	JJ	total JJ PennPOS
mast	NN	mast NN PennPOS
cell	NN	cell NN PennPOS
density	NN	density NN PennPOS
was	VBD	be vbd NUPOS
unchanged	JJ	unchanged JJ PennPOS
in	IN	in IN PennPOS
small	JJ	small JJ PennPOS
airways	NNS	airway NNS PennPOS
and	CC	and cc NUPOS
