Angiotensin-TGF-beta-1	NN	Angiotensin-TGF-beta-1 NN PennPOS
crosstalk	NN	crosstalk NN PennPOS
in	IN	in IN PennPOS
human	JJ	human JJ PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
:	:	: : NUPOS
autocrine	JJ	autocrine JJ PennPOS
mechanisms	NNS	mechanism NNS PennPOS
in	IN	in IN PennPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
and	CC	and cc NUPOS
macrophages	NNS	macrophage NNS PennPOS
.	.	. . NUPOS

Angiotensin-II	NN	Angiotensin-II NN PennPOS
(	(	( ( NUPOS
ANGII	NN	ANGII NN PennPOS
)	)	) ) NUPOS
has	VBZ	have vdz NUPOS
been	VBN	be vbn NUPOS
identified	VBN	identify VBN PennPOS
as	IN	as c-acp NUPOS
a	DT	a dt NUPOS
proapoptotic	JJ	proapoptotic JJ PennPOS
and	CC	and cc NUPOS
profibrotic	JJ	profibrotic JJ PennPOS
factor	NN	factor NN PennPOS
in	IN	in IN PennPOS
experimental	JJ	experimental JJ PennPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
models	NNS	model NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
the	DT	the dt NUPOS
ID/DD	NN	ID/DD NN PennPOS
polymorphism	NN	polymorphism NN PennPOS
of	IN	of pp-f NUPOS
ANG-converting-enzyme	NN	ANG-converting-enzyme NN PennPOS
(	(	( ( NUPOS
ACE	NN	ace NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
confers	VBZ	confer VBZ PennPOS
higher	JJR	high JJR PennPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
ACE	NN	ace NN PennPOS
,	,	, , NUPOS
are	VBP	be vbb NUPOS
predisposed	VBN	predispose VBN PennPOS
to	TO	to p-acp NUPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
Hum	NNP	hum NN PennPOS
.	.	. . NUPOS

Pathol	NN	Pathol NN PennPOS
.	.	. . NUPOS

32:521-528	CD	32:521-528 CD PennPOS
,	,	, , NUPOS
2001	CD	2001 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Previous	JJ	previous JJ PennPOS
work	NN	work NN PennPOS
from	IN	from pp NUPOS
this	DT	this d NUPOS
laboratory	NN	laboratory NN PennPOS
has	VBZ	have vdz NUPOS
shown	VBN	show VBN PennPOS
that	IN	that cst NUPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
isolated	VBN	isolate VBN PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
Idiopathic	JJ	idiopathic JJ PennPOS
Pulmonary	JJ	pulmonary JJ PennPOS
Fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
synthesize	VBP	synthesize VBP PennPOS
the	DT	the dt NUPOS
ANGII	NN	ANGII NN PennPOS
precursor	NN	precursor NN PennPOS
angiotensinogen	NN	angiotensinogen NN PennPOS
(	(	( ( NUPOS
AGT	NN	AGT NN PennPOS
)	)	) ) NUPOS
constitutively	RB	constitutive RB PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
attempts	NNS	attempt NNS PennPOS
to	TO	to p-acp NUPOS
understand	VB	understand VBP PennPOS
the	DT	the dt NUPOS
mechanisms	NNS	mechanism NNS PennPOS
and	CC	and cc NUPOS
consequences	NNS	consequence NNS PennPOS
of	IN	of pp-f NUPOS
constitutive	JJ	constitutive JJ PennPOS
AGT	NN	AGT NN PennPOS
synthesis	NN	synthesis NN PennPOS
by	IN	by IN PennPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
studied	VBD	study VBD PennPOS
myofibroblast-rich	JJ	myofibroblast-rich JJ PennPOS
primary	JJ	primary JJ PennPOS
cultures	NNS	culture NNS PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
(	(	( ( NUPOS
HIPF	NN	HIPF NN PennPOS
isolates	NNS	isolate NNS PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
primary	JJ	primary JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
from	IN	from pp NUPOS
