MOXIBUSTION	NNP	MOXIBUSTION NNP PennPOS
HAS	VBZ	have vdz NUPOS
A	DT	a dt NUPOS
POSITIVE	JJ	positive JJ PennPOS
EFFECT	NN	effect NN PennPOS
ON	IN	on IN PennPOS
PULMONARY	NN	PULMONARY NN PennPOS
FIBROSIS	NN	fibrosis NN PennPOS
:	:	: : NUPOS
AN	DT	a dt NUPOS
ALTERNATIVE	NNP	alternative NN PennPOS
APPROACH	NNP	approach NN PennPOS
.	.	. . NUPOS

BACKGROUND	NN	background NN PennPOS
:	:	: : NUPOS
An	DT	a dt NUPOS
increasing	VBG	increase VBG PennPOS
number	NN	number NN PennPOS
of	IN	of pp-f NUPOS
people	NNS	people n2 NUPOS
suffered	VBD	suffer VBD PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
current	JJ	current JJ PennPOS
treatment	NN	treatment NN PennPOS
was	VBD	be vbd NUPOS
far	RB	far av-j NUPOS
from	IN	from pp NUPOS
clinical	JJ	clinical JJ PennPOS
satisfaction	NN	satisfaction NN PennPOS
.	.	. . NUPOS

Moxibustion	NNP	Moxibustion NNP PennPOS
,	,	, , NUPOS
another	DT	another DT PennPOS
effective	JJ	effective JJ PennPOS
and	CC	and cc NUPOS
safe	JJ	safe JJ PennPOS
unconventional	JJ	unconventional JJ PennPOS
therapy	NN	therapy NN PennPOS
,	,	, , NUPOS
had	VBD	have vhd NUPOS
been	VBN	be vbn NUPOS
introduced	VBN	introduce VBN PennPOS
to	TO	to p-acp NUPOS
treat	VB	treat VBP PennPOS
this	DT	this d NUPOS
refractory	JJ	refractory JJ PennPOS
disease	NN	disease NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
study	NN	study NN PennPOS
aimed	VBN	aim VBN PennPOS
to	TO	to p-acp NUPOS
investigate	VB	investigate VBP PennPOS
the	DT	the dt NUPOS
effect	NN	effect NN PennPOS
of	IN	of pp-f NUPOS
moxibustion	NN	moxibustion NN PennPOS
on	IN	on IN PennPOS
a	DT	a dt NUPOS
bleomycin	NN	bleomycin NN PennPOS
A5-induced	JJ	a5-induced JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
model	NN	model NN PennPOS
.	.	. . NUPOS

MATERIALS	NNS	material NNS PennPOS
AND	CC	and cc NUPOS
METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
Sprague-dawley	NN	sprague-dawley NN PennPOS
(	(	( ( NUPOS
SD	NN	sd NN PennPOS
)	)	) ) NUPOS
rats	NNS	rat NNS PennPOS
were	VBD	be vbd NUPOS
randomly	RB	random RB PennPOS
allocated	VBN	allocate VBN PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
blank	JJ	blank JJ PennPOS
group	NN	group NN PennPOS
,	,	, , NUPOS
model	NN	model NN PennPOS
group	NN	group NN PennPOS
,	,	, , NUPOS
moxibustion	NN	moxibustion NN PennPOS
group	NN	group NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
prednisone	NN	prednisone NN PennPOS
group	NN	group NN PennPOS
,	,	, , NUPOS
for	IN	for c-acp NUPOS
which	WDT	which r-crq NUPOS
they	PRP	they pns31 NUPOS
received	VBD	receive VBD PennPOS
no	DT	no dx NUPOS
treatment	NN	treatment NN PennPOS
,	,	, , NUPOS
modeling	NN	modeling NN PennPOS
,	,	, , NUPOS
moxibustion	NN	moxibustion NN PennPOS
treatment	NN	treatment NN PennPOS
and	CC	and cc NUPOS
prednisone	NN	prednisone NN PennPOS
