Ubiquitin	NNP	ubiquitin NN PennPOS
carboxyl-terminal	JJ	carboxyl-terminal JJ PennPOS
hydrolase-L5	NN	hydrolase-L5 NN PennPOS
promotes	VBZ	promote VBZ PennPOS
TGFb-1	NN	TGFb-1 NN PennPOS
signaling	NN	signaling NN PennPOS
by	IN	by IN PennPOS
de-ubiquitinating	JJ	de-ubiquitinating JJ PennPOS
and	CC	and cc NUPOS
stabilizing	VBG	stabilise VBG PennPOS
Smad2/Smad3	NN	Smad2/Smad3 NN PennPOS
in	IN	in IN PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Transforming-growth-factor-b-1	NN	Transforming-growth-factor-b-1 NN PennPOS
(	(	( ( NUPOS
TGFb-1	NN	TGFb-1 NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce VBN PennPOS
phosphorylation	NN	phosphorylation NN PennPOS
of	IN	of pp-f NUPOS
transcription	NN	transcription NN PennPOS
factors	NNS	factor NNS PennPOS
Smad2	NN	Smad2 NN PennPOS
and	CC	and cc NUPOS
Smad3	NN	Smad3 NN PennPOS
plays	VBZ	play VBZ PennPOS
a	DT	a dt NUPOS
crucial	JJ	crucial JJ PennPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

However	RB	however a-acp NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
molecular	JJ	molecular JJ PennPOS
regulation	NN	regulation NN PennPOS
of	IN	of pp-f NUPOS
Smad2/Smad3	NN	Smad2/Smad3 NN PennPOS
proteins	NNS	protein NNS PennPOS
stability	NN	stability NN PennPOS
remains	VBZ	remain VBZ PennPOS
a	DT	a dt NUPOS
mystery	NN	mystery NN PennPOS
.	.	. . NUPOS

Here	RB	here av NUPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
show	VBP	show VBP PennPOS
that	IN	that cst NUPOS
ubiquitin	NN	ubiquitin NN PennPOS
carboxyl-terminal	JJ	carboxyl-terminal JJ PennPOS
hydrolase-L5	NN	hydrolase-L5 NN PennPOS
(	(	( ( NUPOS
UCHL5	NN	UCHL5 NN PennPOS
or	CC	or cc NUPOS
UCH37	NN	UCH37 NN PennPOS
)	)	) ) NUPOS
de-ubiquitinates	VBZ	de-ubiquitinate VBZ PennPOS
both	DT	both d NUPOS
Smad2	NN	Smad2 NN PennPOS
and	CC	and cc NUPOS
Smad3	NN	Smad3 NN PennPOS
,	,	, , NUPOS
up-regulates	VBZ	upregulate VBZ PennPOS
their	PRP$	their po32 NUPOS
stability	NN	stability NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
promotes	VBZ	promote VBZ PennPOS
