Increased	VBN	increase VBN PennPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lungs	NNS	lung NNS PennPOS
of	IN	of pp-f NUPOS
asbestos-exposed	JJ	asbestos-exposed JJ PennPOS
rats	NNS	rat NNS PennPOS
and	CC	and cc NUPOS
mice	NNS	mouse n2 NUPOS
:	:	: : NUPOS
reduced	VBN	reduce VBN PennPOS
expression	NN	expression NN PennPOS
in	IN	in IN PennPOS
TNF-alpha	NN	TNF-alpha NN PennPOS
receptor	NN	receptor NN PennPOS
knockout	NN	knockout NN PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

Inhalation	NN	inhalation NN PennPOS
of	IN	of pp-f NUPOS
numerous	JJ	numerous JJ PennPOS
fibrogenic	JJ	fibrogenic JJ PennPOS
agents	NNS	agent NNS PennPOS
causes	VBZ	cause VBZ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
humans	NNS	human NNS PennPOS
and	CC	and cc NUPOS
in	IN	in IN PennPOS
a	DT	a dt NUPOS
number	NN	number NN PennPOS
of	IN	of pp-f NUPOS
animal	NN	animal NN PennPOS
models	NNS	model NNS PennPOS
.	.	. . NUPOS

Several	JJ	several JJ PennPOS
of	IN	of pp-f NUPOS
these	DT	these d NUPOS
models	NNS	model NNS PennPOS
provide	VBP	provide VBP PennPOS
evidence	NN	evidence NN PennPOS
that	IN	that cst NUPOS
certain	JJ	certain JJ PennPOS
peptide	NN	peptide NN PennPOS
growth	NN	growth NN PennPOS
factors	NNS	factor NNS PennPOS
(	(	( ( NUPOS
GF	NN	GF NN PennPOS
)	)	) ) NUPOS
are	VBP	be vbb NUPOS
playing	VBG	play VBG PennPOS
a	DT	a dt NUPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
disease	NN	disease NN PennPOS
process	NN	process NN PennPOS
.	.	. . NUPOS

Transforming-growth-factor-beta-1	NN	Transforming-growth-factor-beta-1 NN PennPOS
(	(	( ( NUPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
potent	JJ	potent JJ PennPOS
inducer	NN	inducer NN PennPOS
of	IN	of pp-f NUPOS
extracellular	JJ	extracellular JJ PennPOS
matrix	NN	matrix NN PennPOS
production	NN	production NN PennPOS
by	IN	by IN PennPOS
mesenchymal	JJ	mesenchymal JJ PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
we	PRP	we pns12 NUPOS
have	VBP	have vhb NUPOS
shown	VBN	show VBN PennPOS
that	IN	that cst NUPOS
this	DT	this d NUPOS
peptide	NN	peptide NN PennPOS
is	VBZ	be vbz NUPOS
produced	VBN	produce VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lung	NN	lung NN PennPOS
after	IN	after c-acp NUPOS
asbestos	NN	asbestos NN PennPOS
exposure	NN	exposure NN PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
used	VBD	use VBD PennPOS
in	FW	in fw-la NUPOS
situ	FW	situ FW PennPOS
hybridization	NN	hybridization NN PennPOS
to	TO	to p-acp NUPOS
demonstrate	VB	demonstrate VBP PennPOS
that	IN	that cst NUPOS
the	DT	the dt NUPOS
mRNA	NN	mRNA NN PennPOS
for	IN	for c-acp NUPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
is	VBZ	be vbz NUPOS
rapidly	RB	rapid av-j NUPOS
expressed	VBN	express VBN PennPOS
post-exposure	JJ	post-exposure JJ PennPOS
at	IN	at pp NUPOS
sites	NNS	site NNS PennPOS
of	IN	of pp-f NUPOS
initial	JJ	initial JJ PennPOS
asbestos-induced	JJ	asbestos-induced JJ PennPOS
lung	NN	lung NN PennPOS
injury	NN	injury NN PennPOS
in	IN	in IN PennPOS
both	CC	both CC PennPOS
rats	NNS	rat NNS PennPOS
and	CC	and cc NUPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
is	VBZ	be vbz NUPOS
expressed	VBN	express VBN PennPOS
by	IN	by IN PennPOS
bronchiolar-alveolar	JJ	bronchiolar-alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
as	IN	as c-acp NUPOS
by	IN	by IN PennPOS
mesenchymal	JJ	mesenchymal JJ PennPOS
cells	NNS	cell NNS PennPOS
and	CC	and cc NUPOS
lung	NN	lung NN PennPOS
macrophages	NNS	macrophage NNS PennPOS
in	IN	in IN PennPOS
exposed	VBN	expose VBN PennPOS
animals	NNS	animal NNS PennPOS
.	.	. . NUPOS

Normal	JJ	normal JJ PennPOS
rats	NNS	rat NNS PennPOS
and	CC	and cc NUPOS
mice	NNS	mouse n2 NUPOS
express	VBP	express VBP PennPOS
little	JJ	little JJ PennPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
,	,	, , NUPOS
as	IN	as c-acp NUPOS
we	PRP	we pns12 NUPOS
have	VBP	have vhb NUPOS
demonstrated	VBN	demonstrate VBN PennPOS
previously	RB	previous av-j NUPOS
for	IN	for c-acp NUPOS
PDGF-A-and	NN	PDGF-A-and NN PennPOS
--	:	-- : NUPOS
B	NN	b NN PennPOS
,	,	, , NUPOS
TGF-alpha	NN	TGF-alpha NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
TNF-alpha	NN	TNF-alpha NN PennPOS
.	.	. . NUPOS

TGF-beta1	NN	TGF-beta1 NN PennPOS
expression	NN	expression NN PennPOS
is	VBZ	be vbz NUPOS
accompanied	VBN	accompany VBN PennPOS
by	IN	by IN PennPOS
collagen	NN	collagen NN PennPOS
and	CC	and cc NUPOS
fibronectin	NN	fibronectin NN PennPOS
production	NN	production NN PennPOS
in	IN	in IN PennPOS
asbestos-exposed	JJ	asbestos-exposed JJ PennPOS
animals	NNS	animal NNS PennPOS
.	.	. . NUPOS

Most	JJS	many JJS PennPOS
interesting	JJ	interesting JJ PennPOS
,	,	, , NUPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
expression	NN	expression NN PennPOS
is	VBZ	be vbz NUPOS
largely	RB	large av-j NUPOS
absent	JJ	absent JJ PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lungs	NNS	lung NNS PennPOS
of	IN	of pp-f NUPOS
TNF-alpha	NN	TNF-alpha NN PennPOS
receptor	NN	receptor NN PennPOS
knockout	NN	knockout NN PennPOS
mice	NNS	mouse n2 NUPOS
that	WDT	that WDT PennPOS
fail	VBP	fail VBP PennPOS
to	TO	to p-acp NUPOS
develop	VB	develop VBP PennPOS
asbestos-induced	JJ	asbestos-induced JJ PennPOS
IPE	NNP	IPE NNP PennPOS
We	PRP	we pns12 NUPOS
have	VBP	have vhb NUPOS
shown	VBN	show VBN PennPOS
