Comparative	JJ	comparative JJ PennPOS
study	NN	study NN PennPOS
of	IN	of pp-f NUPOS
transforming-growth-factor-b	JJ	transforming-growth-factor-b JJ PennPOS
signalling	NN	signalling NN PennPOS
and	CC	and cc NUPOS
regulatory	JJ	regulatory JJ PennPOS
molecules	NNS	molecule NNS PennPOS
in	IN	in IN PennPOS
human	JJ	human JJ PennPOS
and	CC	and cc NUPOS
canine	JJ	canine JJ PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Activation	NN	activation NN PennPOS
of	IN	of pp-f NUPOS
transforming	VBG	transform VBG PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
(	(	( ( NUPOS
TGF	NN	tgf NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
b	NN	b NN PennPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
key	JJ	key JJ PennPOS
event	NN	event NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
progression	NN	progression NN PennPOS
of	IN	of pp-f NUPOS
fibrosis	NN	fibrosis NN PennPOS
in	IN	in IN PennPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
tissue	NN	tissue NN PennPOS
.	.	. . NUPOS

Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
West	NNP	west NN PennPOS
Highland	NNP	highland NN PennPOS
white	JJ	white JJ PennPOS
terriers	NNS	terrier n2 NUPOS
(	(	( ( NUPOS
WHWTs	NNS	whwt NNS PennPOS
)	)	) ) NUPOS
shares	NNS	share n2 NUPOS
histopathological	JJ	histopathological JJ PennPOS
features	NNS	feature NNS PennPOS
of	IN	of pp-f NUPOS
human	JJ	human JJ PennPOS
usual	JJ	usual JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonia	NN	pneumonia NN PennPOS
(	(	( ( NUPOS
UIP	NN	UIP NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
histopathological	JJ	histopathological JJ PennPOS
counterpart	NN	counterpart NN PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
non-specific	JJ	non-specific JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonia	NN	pneumonia NN PennPOS
(	(	( ( NUPOS
NSIP	NN	NSIP NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

