Protective	JJ	protective JJ PennPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
gambogic	JJ	gambogic JJ PennPOS
acid	NN	acid NN PennPOS
in	IN	in IN PennPOS
experimental	JJ	experimental JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
in	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
and	CC	and cc NUPOS
in	FW	in fw-la NUPOS
vivo	FW	vivo fw-la NUPOS
.	.	. . NUPOS

BACKGROUND	NN	background NN PennPOS
:	:	: : NUPOS
Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
progressive	JJ	progressive JJ PennPOS
disorder	NN	disorder NN PennPOS
with	IN	with pp NUPOS
poor	JJ	poor JJ PennPOS
prognosis	NN	prognosis NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
treatment	NN	treatment NN PennPOS
options	NNS	option NNS PennPOS
for	IN	for c-acp NUPOS
IPF	NN	IPF NN PennPOS
are	VBP	be vbb NUPOS
very	RB	very av NUPOS
limited	JJ	limited JJ PennPOS
.	.	. . NUPOS

Gambogic	JJ	gambogic JJ PennPOS
acid	NN	acid NN PennPOS
(	(	( ( NUPOS
GA	NN	ga NN PennPOS
)	)	) ) NUPOS
has	VBZ	have vdz NUPOS
anticancer	JJ	anticancer JJ PennPOS
effect	NN	effect NN PennPOS
and	CC	and cc NUPOS
anti-proliferative	JJ	anti-proliferative JJ PennPOS
activity	NN	activity NN PennPOS
which	WDT	which r-crq NUPOS
is	VBZ	be vbz NUPOS
extracted	VBN	extract VBN PennPOS
from	IN	from pp NUPOS
a	DT	a dt NUPOS
dried	VBN	dry VBN PennPOS
yellow	JJ	yellow JJ PennPOS
resin	NN	resin NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
Garcinia	NNP	garcinia NN PennPOS
hanburyi	NN	hanburyi NN PennPOS
Hook.f	NN	Hook.f NN PennPOS
.	.	. . NUPOS

[	(	[ ( NUPOS
Clusiaceae	NN	clusiaceae NN PennPOS
(	(	( ( NUPOS
Guttiferae	NN	guttiferae NN PennPOS
)	)	) ) NUPOS
]	)	] ) NUPOS
in	IN	in IN PennPOS
Southeast	NNP	southeast NN PennPOS
Asia	NNP	asia NN PennPOS
.	.	. . NUPOS

However	RB	however a-acp NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
anti-fibrotic	JJ	anti-fibrotic JJ PennPOS
activities	NNS	activity NNS PennPOS
of	IN	of pp-f NUPOS
GA	NN	ga NN PennPOS
have	VBP	have vhb NUPOS
not	RB	not xx NUPOS
been	VBN	be vbn NUPOS
previously	RB	previous av-j NUPOS
investigated	VBN	investigate VBN PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
In	IN	in IN PennPOS
this	DT	this d NUPOS
study	NN	study NN PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
effects	NNS	effect NNS PennPOS
of	IN	of pp-f NUPOS
GA	NN	ga NN PennPOS
on	IN	on IN PennPOS
TGF-b1-mediated	JJ	tgf-b1-mediated JJ PennPOS
epithelial-mesenchymal	JJ	epithelial-mesenchymal JJ PennPOS
transition	NN	transition NN PennPOS
(	(	( ( NUPOS
EMT	NN	emt NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
A549	NN	A549 NN PennPOS
cells	NNS	cell NNS PennPOS
and	CC	and cc NUPOS
endothelial-mesenchymal	JJ	endothelial-mesenchymal JJ PennPOS
transition	NN	transition NN PennPOS
(	(	( ( NUPOS
EndoMT	NN	EndoMT NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
human	JJ	human JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
microvascular	JJ	microvascular JJ PennPOS
endothelial	JJ	endothelial JJ PennPOS
cells	NNS	cell NNS PennPOS
(	(	( ( NUPOS
HPMECs	NNS	hpmec NNS PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
on	IN	on IN PennPOS
the	DT	the dt NUPOS
proliferation	NN	proliferation NN PennPOS
of	IN	of pp-f NUPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
(	(	( ( NUPOS
HLF-1	NN	HLF-1 NN PennPOS
)	)	) ) NUPOS
were	VBD	be vbd NUPOS
investigated	VBN	investigate VBN PennPOS
in	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
on	IN	on IN PennPOS
bleomycin	NN	bleomycin NN PennPOS
(	(	( ( NUPOS
BLM	NN	Blm NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce VBN PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
was	VBD	be vbd NUPOS
investigated	VBN	investigate VBN PennPOS
in	FW	in fw-la NUPOS
vivo	FW	vivo fw-la NUPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
In	IN	in IN PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
stimulated	VBD	stimulate VBD PennPOS
A549	NN	A549 NN PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
treatment	NN	treatment NN PennPOS
with	IN	with pp NUPOS
GA	NN	ga NN PennPOS
resulted	VBD	result VBD PennPOS
in	IN	in IN PennPOS
a	DT	a dt NUPOS
reduction	NN	reduction NN PennPOS
of	IN	of pp-f NUPOS
EMT	NN	emt NN PennPOS
with	IN	with pp NUPOS
a	DT	a dt NUPOS
decrease	NN	decrease NN PennPOS
in	IN	in IN PennPOS
vimentin	NN	vimentin NN PennPOS
and	CC	and cc NUPOS
p-Smad3	NN	p-Smad3 NN PennPOS
and	CC	and cc NUPOS
an	DT	a dt NUPOS
increase	NN	increase NN PennPOS
in	IN	in IN PennPOS
E-cadherin	NN	e-cadherin NN PennPOS
instead	RB	instead av NUPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
stimulated	VBD	stimulate VBD PennPOS
HPMECs	NNS	hpmec NNS PennPOS
,	,	, , NUPOS
treatment	NN	treatment NN PennPOS
with	IN	with pp NUPOS
GA	NN	ga NN PennPOS
resulted	VBD	result VBD PennPOS
in	IN	in IN PennPOS
a	DT	a dt NUPOS
reduction	NN	reduction NN PennPOS
of	IN	of pp-f NUPOS
EndoMT	NN	EndoMT NN PennPOS
with	IN	with pp NUPOS
a	DT	a dt NUPOS
decrease	NN	decrease NN PennPOS
in	IN	in IN PennPOS
vimentin	NN	vimentin NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
an	DT	a dt NUPOS
increase	NN	increase NN PennPOS
in	IN	in IN PennPOS
VE-cadherin	NN	VE-cadherin NN PennPOS
instead	RB	instead av NUPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
the	DT	the dt NUPOS
hypoxic	JJ	hypoxic JJ PennPOS
HPMECs	NNS	hpmec NNS PennPOS
,	,	, , NUPOS
treatment	NN	treatment NN PennPOS
with	IN	with pp NUPOS
GA	NN	ga NN PennPOS
reduced	VBD	reduce VBD PennPOS
Vasohibin-2	NN	Vasohibin-2 NN PennPOS
(	(	( ( NUPOS
VASH-2	NN	VASH-2 NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
whereas	IN	whereas cs NUPOS
increased	VBN	increase VBN PennPOS
VASH-1	NN	VASH-1 NN PennPOS
.	.	. . NUPOS

