Increased	VBN	increase VBN PennPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
prostaglandin	NN	prostaglandin NN PennPOS
E-major	NN	E-major NN PennPOS
urinary	JJ	urinary JJ PennPOS
metabolite	NN	metabolite NN PennPOS
(	(	( ( NUPOS
PGE-MUM	NN	PGE-MUM NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
chronic	JJ	chronic JJ PennPOS
fibrosing	JJ	fibrosing JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonia	NN	pneumonia NN PennPOS
.	.	. . NUPOS

BACKGROUND	NN	background NN PennPOS
:	:	: : NUPOS
Dysregulation	NN	Dysregulation NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
prostaglandin	NN	prostaglandin NN PennPOS
E2	NN	E2 NN PennPOS
(	(	( ( NUPOS
PGE2	NN	PGE2 NN PennPOS
)	)	) ) NUPOS
signaling	NN	signaling NN PennPOS
pathway	NN	pathway NN PennPOS
has	VBZ	have vdz NUPOS
been	VBN	be vbn NUPOS
implicated	VBN	implicate VBN PennPOS
in	IN	in IN PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonia	NN	pneumonia NN PennPOS
(	(	( ( NUPOS
IP	NNP	IP NN PennPOS
)	)	) ) NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
.	.	. . NUPOS

Due	JJ	due JJ PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
unstable	JJ	unstable JJ PennPOS
nature	NN	nature NN PennPOS
of	IN	of pp-f NUPOS
PGE2	NN	PGE2 NN PennPOS
,	,	, , NUPOS
available	JJ	available JJ PennPOS
detection	NN	detection NN PennPOS
methods	NNS	method NNS PennPOS
may	MD	may vmb NUPOS
not	RB	not xx NUPOS
precisely	RB	precise av-j NUPOS
reflect	VB	reflect VBP PennPOS
PGE2	NN	PGE2 NN PennPOS
levels	NNS	level NNS PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
explored	VBD	explore VBD PennPOS
the	DT	the dt NUPOS
clinical	JJ	clinical JJ PennPOS
usefulness	NN	usefulness NN PennPOS
of	IN	of pp-f NUPOS
measuring	VBG	measure VBG PennPOS
stable	JJ	stable JJ PennPOS
prostaglandin	NN	prostaglandin NN PennPOS
E-major	NN	E-major NN PennPOS
urinary	JJ	urinary JJ PennPOS
metabolite	NN	metabolite NN PennPOS
(	(	( ( NUPOS
PGE-MUM	NN	PGE-MUM NN PennPOS
)	)	) ) NUPOS
with	IN	with pp NUPOS
respect	NN	respect NN PennPOS
to	TO	to p-acp NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
and	CC	and cc NUPOS
extent	NN	extent NN PennPOS
of	IN	of pp-f NUPOS
chronic	JJ	chronic JJ PennPOS
fibrosing	JJ	fibrosing JJ PennPOS
IP	NNP	IP NN PennPOS
(	(	( ( NUPOS
CFIP	NNP	CFIP NNP PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
including	VBG	include VBG PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
as	IN	as c-acp NUPOS
PGE-MUM	NN	PGE-MUM NN PennPOS
is	VBZ	be vbz NUPOS
reflective	JJ	reflective JJ PennPOS
of	IN	of pp-f NUPOS
systemic	JJ	systemic JJ PennPOS
PGE2	NN	PGE2 NN PennPOS
production	NN	production NN PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
PGE-MUM	NN	PGE-MUM NN PennPOS
was	VBD	be vbd NUPOS
measured	VBN	measure VBN PennPOS
by	IN	by IN PennPOS
radioimmunoassay	NN	radioimmunoassay NN PennPOS
in	IN	in IN PennPOS
controls	NNS	control NNS PennPOS
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
124	CD	124 crd NUPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
lung	NN	lung NN PennPOS
diseases	NNS	disease NNS PennPOS
(	(	( ( NUPOS
bronchial	JJ	bronchial JJ PennPOS
asthma	NN	asthma NN PennPOS
(	(	( ( NUPOS
BA	NN	ba NN PennPOS
)	)	) ) NUPOS
:	:	: : NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
78	CD	78 CD PennPOS
,	,	, , NUPOS
chronic	JJ	chronic JJ PennPOS
