MicroRNA-101	NN	MicroRNA-101 O TermTag
attenuates	VBZ	attenuate O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
by	IN	by O TermTag
inhibiting	VBG	inhibit O TermTag
fibroblast	NN	fibroblast O TermTag
proliferation	NN	proliferation O TermTag
and	CC	and O TermTag
activation	NN	activation O TermTag
.	.	. . NUPOS

Aberrant	JJ	aberrant O TermTag
proliferation	NN	proliferation O TermTag
and	CC	and O TermTag
activation	NN	activation O TermTag
of	IN	of O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
contribute	VBP	contribute O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
initiation	NN	initiation O TermTag
and	CC	and O TermTag
progression	NN	progression O TermTag
of	IN	of O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

However	RB	however O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
mechanisms	NNS	mechanism O TermTag
responsible	JJ	responsible O TermTag
for	IN	for O TermTag
the	DT	the O TermTag
proliferation	NN	proliferation O TermTag
and	CC	and O TermTag
activation	NN	activation O TermTag
of	IN	of O TermTag
fibroblasts	NNS	fibroblast O TermTag
are	VBP	be O TermTag
not	RB	not O TermTag
fully	RB	full O TermTag
understood	VBN	understand O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
objective	NN	objective O TermTag
of	IN	of O TermTag
this	DT	this O TermTag
study	NN	study O TermTag
was	VBD	be O TermTag
to	TO	to O TermTag
investigate	VB	investigate O TermTag
the	DT	the O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
miR-101	NN	miR-101 O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
proliferation	NN	proliferation O TermTag
and	CC	and O TermTag
activation	NN	activation O TermTag
of	IN	of O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

miR-101	NN	miR-101 O TermTag
expression	NN	expression O TermTag
was	VBD	be O TermTag
determined	VBN	determine O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
tissues	NNS	tissue O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
mice	NNS	mouse O TermTag
with	IN	with O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
regulation	NN	regulation O TermTag
of	IN	of O TermTag
miR-101	NN	miR-101 O TermTag
and	CC	and O TermTag
cellular	JJ	cellular O TermTag
signaling	NN	signaling O TermTag
was	VBD	be O TermTag
investigated	VBN	investigate O TermTag
in	IN	in O TermTag
pulmonary	JJ	pulmonary O TermTag
fibroblasts	NNS	fibroblast O TermTag
in	FW	in O TermTag
vitro	FW	vitro O TermTag
The	DT	the O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
miR-101	NN	miR-101 O TermTag
in	IN	in O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
in	FW	in O TermTag
vivo	FW	vivo O TermTag
was	VBD	be O TermTag
studied	VBN	study O TermTag
using	VBG	use O TermTag
adenovirus-mediated	JJ	adenovirus-mediated O TermTag
gene	NN	gene O TermTag
transfer	NN	transfer O TermTag
in	IN	in O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
miR-101	NN	miR-101 O TermTag
was	VBD	be O TermTag
down-regulated	VBN	downregulate O TermTag
in	IN	in O TermTag
fibrotic	JJ	fibrotic O TermTag
lungs	NNS	lung O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
bleomycin-treated	JJ	bleomycin-treated O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
down-regulation	NN	down-regulation O TermTag
of	IN	of O TermTag
miR-101	NN	miR-101 O TermTag
occurred	VBD	occur O TermTag
via	IN	via O TermTag
the	DT	the O TermTag
E26	NN	E26 O TermTag
transformation-specific	JJ	transformation-specific O TermTag
(	(	( ( NUPOS
ETS	NN	Ets O TermTag
)	)	) ) NUPOS
transcription	NN	transcription O TermTag
factor	NN	factor O TermTag
.	.	. . NUPOS

miR-101	NN	miR-101 O TermTag
suppressed	VBD	suppress O TermTag
the	DT	the O TermTag
WNT5a-induced	JJ	wnt5a-induced O TermTag
proliferation	NN	proliferation O TermTag
of	IN	of O TermTag
