Ubiquitin	NNP	ubiquitin O TermTag
carboxyl-terminal	JJ	carboxyl-terminal O TermTag
hydrolase-L5	NN	hydrolase-L5 O TermTag
promotes	VBZ	promote O TermTag
TGFb-1	NN	TGFb-1 GENE TermTag
signaling	NN	signaling O TermTag
by	IN	by O TermTag
de-ubiquitinating	JJ	de-ubiquitinating O TermTag
and	CC	and O TermTag
stabilizing	VBG	stabilise O TermTag
Smad2/Smad3	NN	Smad2/Smad3 O TermTag
in	IN	in O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Transforming	NN	Transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
b	NN	b GENE TermTag
1	NN	1 GENE TermTag
(	(	( ( NUPOS
TGFb-1	NN	TGFb-1 GENE TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce O TermTag
phosphorylation	NN	phosphorylation O TermTag
of	IN	of O TermTag
transcription	NN	transcription O TermTag
factors	NNS	factor O TermTag
Smad2	NN	Smad2 GENE TermTag
and	CC	and O TermTag
Smad3	NN	Smad3 GENE TermTag
plays	VBZ	play O TermTag
a	DT	a dt NUPOS
crucial	JJ	crucial O TermTag
role	NN	role O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

However	RB	however O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
molecular	JJ	molecular O TermTag
regulation	NN	regulation O TermTag
of	IN	of O TermTag
Smad2/Smad3	NN	Smad2/Smad3 O TermTag
proteins	NNS	protein O TermTag
stability	NN	stability O TermTag
remains	VBZ	remain O TermTag
a	DT	a dt NUPOS
mystery	NN	mystery O TermTag
.	.	. . NUPOS

Here	RB	here O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
show	VBP	show O TermTag
that	IN	that O TermTag
ubiquitin	NN	ubiquitin O TermTag
carboxyl-terminal	JJ	carboxyl-terminal O TermTag
hydrolase-L5	NN	hydrolase-L5 O TermTag
(	(	( ( NUPOS
UCHL5	NN	UCHL5 O TermTag
or	CC	or O TermTag
UCH37	NN	UCH37 O TermTag
)	)	) ) NUPOS
de-ubiquitinates	VBZ	de-ubiquitinate O TermTag
both	DT	both O TermTag
Smad2	NN	Smad2 GENE TermTag
and	CC	and O TermTag
Smad3	NN	Smad3 GENE TermTag
,	,	, , NUPOS
up-regulates	VBZ	upregulate O TermTag
their	PRP$	their O TermTag
stability	NN	stability O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
promotes	VBZ	promote O TermTag
TGFb-1-induced	JJ	tgfb-1-induced O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
profibrotic	JJ	profibrotic O TermTag
proteins	NNS	protein O TermTag
,	,	, , NUPOS
such	JJ	such O TermTag
as	IN	as O TermTag
fibronectin	NN	fibronectin GENE TermTag
(	(	( ( NUPOS
FN	NN	FN O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
a-smooth-muscle-actin	NN	a-smooth-muscle-actin GENE TermTag
(	(	( ( NUPOS
a-SMA	NN	a-SMA GENE TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Inhibition	NN	inhibition O TermTag
or	CC	or O TermTag
down-regulation	NN	down-regulation O TermTag
of	IN	of O TermTag
UCHL5	NN	UCHL5 O TermTag
reduced	VBD	reduce O TermTag
Smad2/Smad3	NN	Smad2/Smad3 O TermTag
levels	NNS	level O TermTag
and	CC	and O TermTag
TGFb-1-induced	JJ	tgfb-1-induced O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
FN	NN	FN O TermTag
and	CC	and O TermTag
a-SMA	NN	a-SMA GENE TermTag
in	IN	in O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
fibroblast	NN	fibroblast O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
demonstrate	VBP	demonstrate O TermTag
that	IN	that O TermTag
Smad2	NN	Smad2 GENE TermTag
and	CC	and O TermTag
Smad3	NN	Smad3 GENE TermTag
ubiquitination	NN	ubiquitination O TermTag
was	VBD	be O TermTag
diminished	VBN	diminish O TermTag
by	IN	by O TermTag
over-expression	NN	over-expression O TermTag
of	IN	of O TermTag
UCHL5	NN	UCHL5 O TermTag
,	,	, , NUPOS
while	IN	while O TermTag
it	PRP	it O TermTag
was	VBD	be O TermTag
enhanced	VBN	enhance O TermTag
by	IN	by O TermTag
inhibition	NN	inhibition O TermTag
or	CC	or O TermTag
down-regulation	NN	down-regulation O TermTag
of	IN	of O TermTag
UCHL5	NN	UCHL5 O TermTag
.	.	. . NUPOS

UCHL5	NN	UCHL5 O TermTag
is	VBZ	be O TermTag
highly	RB	high O TermTag
expressed	VBN	express O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
lungs	NNS	lung O TermTag
.	.	. . NUPOS

UCHL5	NN	UCHL5 O TermTag
,	,	, , NUPOS
Smad2	NN	Smad2 GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
Smad3	NN	Smad3 GENE TermTag
levels	NNS	level O TermTag
were	VBD	be O TermTag
increased	VBN	increase O TermTag
in	IN	in O TermTag
bleomycin-injured	JJ	bleomycin-injured O TermTag
lungs	NNS	lung O TermTag
.	.	. . NUPOS

Administration	NN	administration O TermTag
of	IN	of O TermTag
UCHL5	NN	UCHL5 O TermTag
inhibitor	NN	inhibitor O TermTag
,	,	, , NUPOS
b-AP15	NN	b-AP15 O TermTag
,	,	, , NUPOS
reduced	VBD	reduce O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
FN	NN	FN O TermTag
,	,	, , NUPOS
type	NN	type O TermTag
I	CD	i crd NUPOS
collagen	NN	collagen O TermTag
,	,	, , NUPOS
Smad2/Smad3	NN	Smad2/Smad3 O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
the	DT	the O TermTag
deposition	NN	deposition O TermTag
of	IN	of O TermTag
collagen	NN	collagen O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
tissues	NNS	tissue O TermTag
in	IN	in O TermTag
a	DT	a dt NUPOS
bleomycin-induced	JJ	bleomycin-induced O TermTag
model	NN	model O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Our	PRP$	our O TermTag
studies	NNS	study O TermTag
provide	VBP	provide O TermTag
a	DT	a dt NUPOS
molecular	JJ	molecular O TermTag
mechanism	NN	mechanism O TermTag
by	IN	by O TermTag
which	WDT	which O TermTag
UCHL5	NN	UCHL5 O TermTag
mitigates	VBZ	mitigate O TermTag
TGFb-1	NN	TGFb-1 GENE TermTag
signaling	NN	signaling O TermTag
by	IN	by O TermTag
stabilizing	VBG	stabilise O TermTag
Smad2/Smad3	NN	Smad2/Smad3 O TermTag
.	.	. . NUPOS

These	DT	these O TermTag
data	NNS	datum O TermTag
indicate	VBP	indicate O TermTag
that	IN	that O TermTag
UCHL5	NN	UCHL5 O TermTag
may	MD	may O TermTag
contribute	VB	contribute O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
may	MD	may O TermTag
be	VB	be O TermTag
a	DT	a dt NUPOS
potential	JJ	potential O TermTag
therapeutic	JJ	therapeutic O TermTag
target	NN	target O TermTag
.	.	. . NUPOS

