Targeting	NN	Targeting O TermTag
sphingosine	NN	sphingosine O TermTag
kinase	NN	kinase O TermTag
1	CD	1 crd NUPOS
attenuates	VBZ	attenuate O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
chronic	JJ	chronic O TermTag
and	CC	and O TermTag
progressive	JJ	progressive O TermTag
interstitial	JJ	interstitial O TermTag
lung	NN	lung O TermTag
disease	NN	disease O TermTag
,	,	, , NUPOS
wherein	WRB	wherein O TermTag
transforming	NN	transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
b	NN	b GENE TermTag
(	(	( ( NUPOS
TGF-b	NN	TGF-b GENE TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
sphingosine-1-phosphate	NN	sphingosine-1-phosphate O TermTag
(	(	( ( NUPOS
S1P	NN	S1P GENE TermTag
)	)	) ) NUPOS
contribute	VBP	contribute O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

However	RB	however O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
in	FW	in O TermTag
vivo	FW	vivo O TermTag
contribution	NN	contribution O TermTag
of	IN	of O TermTag
sphingosine	NN	sphingosine O TermTag
kinase	NN	kinase O TermTag
(	(	( ( NUPOS
SphK	NN	SphK GENE TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
fibrotic	JJ	fibrotic O TermTag
processes	NNS	process O TermTag
has	VBZ	have O TermTag
not	RB	not O TermTag
been	VBN	be O TermTag
documented	VBN	document O TermTag
.	.	. . NUPOS

Microarray	NN	Microarray O TermTag
analysis	NN	analysis O TermTag
of	IN	of O TermTag
blood	NN	blood O TermTag
mononuclear	JJ	mononuclear O TermTag
cells	NNS	cell O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
SphK1	NN	SphK1 O TermTag
-	:	- : NUPOS
or	CC	or O TermTag
SphK2-knockdown	JJ	sphk2-knockdown O TermTag
mice	NNS	mouse O TermTag
and	CC	and O TermTag
SphK	NN	SphK GENE TermTag
inhibitor	NN	inhibitor O TermTag
were	VBD	be O TermTag
used	VBN	use O TermTag
to	TO	to O TermTag
assess	VB	assess O TermTag
the	DT	the O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
SphKs	NNS	sphk O TermTag
in	IN	in O TermTag
fibrogenesis	NN	fibrogenesis O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
SphK1/2	NN	SphK1/2 O TermTag
negatively	RB	negative O TermTag
correlated	VBD	correlate O TermTag
with	IN	with O TermTag
lung	NN	lung O TermTag
function	NN	function O TermTag
and	CC	and O TermTag
survival	NN	survival O TermTag
in	IN	in O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

Also	RB	also O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
SphK1	NN	SphK1 O TermTag
was	VBD	be O TermTag
increased	VBN	increase O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
tissues	NNS	tissue O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
bleomycin-challenged	JJ	bleomycin-challenged O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

Knockdown	NNP	knockdown O TermTag
of	IN	of O TermTag
SphK1	NN	SphK1 O TermTag
,	,	, , NUPOS
but	CC	but O TermTag
not	RB	not O TermTag
SphK2	NN	SphK2 O TermTag
,	,	, , NUPOS
increased	VBD	increase O TermTag
survival	NN	survival O TermTag
and	CC	and O TermTag
resistance	NN	resistance O TermTag
to	TO	to O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
in	IN	in O TermTag
bleomycin-challenged	JJ	bleomycin-challenged O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

Administration	NN	administration O TermTag
of	IN	of O TermTag
SphK	NN	SphK GENE TermTag
inhibitor	NN	inhibitor O TermTag
reduced	VBD	reduce O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
mortality	NN	mortality O TermTag
and	CC	and O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
in	IN	in O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

Knockdown	NNP	knockdown O TermTag
of	IN	of O TermTag
SphK1	NN	SphK1 O TermTag
or	CC	or O TermTag
treatment	NN	treatment O TermTag
with	IN	with O TermTag
SphK	NN	SphK GENE TermTag
inhibitor	NN	inhibitor O TermTag
attenuated	VBD	attenuate O TermTag
S1P	NN	S1P GENE TermTag
generation	NN	generation O TermTag
and	CC	and O TermTag
TGF-b	NN	TGF-b GENE TermTag
secretion	NN	secretion O TermTag
in	IN	in O TermTag
a	DT	a dt NUPOS
bleomycin-induced	JJ	bleomycin-induced O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
mouse	NN	mouse O TermTag
model	NN	model O TermTag
that	WDT	that O TermTag
was	VBD	be O TermTag
accompanied	VBN	accompany O TermTag
by	IN	by O TermTag
reduced	VBN	reduce O TermTag
phosphorylation	NN	phosphorylation O TermTag
of	IN	of O TermTag
Smad2	NN	Smad2 GENE TermTag
and	CC	and O TermTag
MAPKs	NNS	mapk O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
tissue	NN	tissue O TermTag
.	.	. . NUPOS

In	FW	in O TermTag
vitro	FW	vitro O TermTag
,	,	, , NUPOS
bleomycin-induced	JJ	bleomycin-induced O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
SphK1	NN	SphK1 O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
fibroblast	NN	fibroblast O TermTag
was	VBD	be O TermTag
found	VBN	find O TermTag
to	TO	to O TermTag
be	VB	be O TermTag
TGF-b	JJ	tgf-b GENE TermTag
dependent	JJ	dependent O TermTag
.	.	. . NUPOS

Taken	VBN	take O TermTag
together	RB	together O TermTag
,	,	, , NUPOS
these	DT	these O TermTag
data	NNS	datum O TermTag
indicate	VBP	indicate O TermTag
that	IN	that O TermTag
SphK1	NN	SphK1 O TermTag
plays	VBZ	play O TermTag
a	DT	a dt NUPOS
critical	JJ	critical O TermTag
role	NN	role O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
pathology	NN	pathology O TermTag
of	IN	of O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
and	CC	and O TermTag
is	VBZ	be O TermTag
a	DT	a dt NUPOS
novel	JJ	novel O TermTag
therapeutic	JJ	therapeutic O TermTag
target	NN	target O TermTag
.	.	. . NUPOS

