NOX4/NADPH	NN	NOX4/NADPH O TermTag
oxidase	NN	oxidase O TermTag
expression	NN	expression O TermTag
is	VBZ	be O TermTag
increased	VBN	increase O TermTag
in	IN	in O TermTag
pulmonary	JJ	pulmonary O TermTag
fibroblasts	NNS	fibroblast O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
and	CC	and O TermTag
mediates	VBZ	mediate O TermTag
TGFbeta1-induced	JJ	tgfbeta1-induced O TermTag
fibroblast	NN	fibroblast O TermTag
differentiation	NN	differentiation O TermTag
into	IN	into O TermTag
myofibroblasts	NNS	myofibroblast O TermTag
.	.	. . NUPOS

BACKGROUND	NN	background O TermTag
:	:	: : NUPOS
Persistence	NN	persistence O TermTag
of	IN	of O TermTag
myofibroblasts	NNS	myofibroblast O TermTag
is	VBZ	be O TermTag
believed	VBN	believe O TermTag
to	TO	to O TermTag
contribute	VB	contribute O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
development	NN	development O TermTag
of	IN	of O TermTag
fibrosis	NN	fibrosis O TermTag
in	IN	in O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Transforming	NN	Transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
beta1	NN	beta1 GENE TermTag
(	(	( ( NUPOS
TGFbeta1	NN	TGFbeta1 GENE TermTag
)	)	) ) NUPOS
irreversibly	RB	irreversible O TermTag
converts	VBZ	convert O TermTag
fibroblasts	NNS	fibroblast O TermTag
into	IN	into O TermTag
pathological	JJ	pathological O TermTag
myofibroblasts	NNS	myofibroblast O TermTag
,	,	, , NUPOS
which	WDT	which O TermTag
express	VBP	express O TermTag
smooth	JJ	smooth O TermTag
muscle	NN	muscle O TermTag
alpha-actin	NN	alpha-actin O TermTag
(	(	( ( NUPOS
alpha-SMA	NN	alpha-SMA GENE TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
produce	VBP	produce O TermTag
extracellular	JJ	extracellular O TermTag
matrix	NN	matrix O TermTag
proteins	NNS	protein O TermTag
,	,	, , NUPOS
such	JJ	such O TermTag
as	IN	as O TermTag
procollagen	NN	procollagen O TermTag
I	NN	i NN PennPOS
(	(	( ( NUPOS
alpha1	NN	alpha1 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Reactive	JJ	reactive O TermTag
oxygen	NN	oxygen O TermTag
species	NNS	specie O TermTag
produced	VBN	produce O TermTag
by	IN	by O TermTag
NADPH	NN	NADPH O TermTag
oxidases	NNS	oxidase O TermTag
(	(	( ( NUPOS
NOXs	NNS	nox O TermTag
)	)	) ) NUPOS
have	VBP	have O TermTag
been	VBN	be O TermTag
shown	VBN	show O TermTag
to	TO	to O TermTag
regulate	VB	regulate O TermTag
cell	NN	cell O TermTag
differentiation	NN	differentiation O TermTag
.	.	. . NUPOS

It	PRP	it O TermTag
was	VBD	be O TermTag
hypothesised	VBN	hypothesise O TermTag
that	IN	that O TermTag
NOX	NNP	nox O TermTag
could	MD	can O TermTag
be	VB	be O TermTag
expressed	VBN	express O TermTag
in	IN	in O TermTag
parenchymal	JJ	parenchymal O TermTag
pulmonary	JJ	pulmonary O TermTag
fibroblasts	NNS	fibroblast O TermTag
and	CC	and O TermTag
could	MD	can O TermTag
mediate	VB	mediate O TermTag
TGFbeta1-stimulated	JJ	tgfbeta1-stimulated O TermTag
conversion	NN	conversion O TermTag
of	IN	of O TermTag
fibroblasts	NNS	fibroblast O TermTag
into	IN	into O TermTag
myofibroblasts	NNS	myofibroblast O TermTag
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
Fibroblasts	NNS	fibroblast O TermTag
were	VBD	be O TermTag
cultured	VBN	culture O TermTag
from	IN	from O TermTag
the	DT	the O TermTag
lung	NN	lung O TermTag
of	IN	of O TermTag
nine	CD	nine O TermTag
controls	NNS	control O TermTag
and	CC	and O TermTag
eight	CD	eight O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

NOX4	NN	NOX4 GENE TermTag
,	,	, , NUPOS
alpha-SMA	NN	alpha-SMA GENE TermTag
and	CC	and O TermTag
procollagen	NN	procollagen O TermTag
I	NN	i NN PennPOS
(	(	( ( NUPOS
