Association	NNP	association O TermTag
between	IN	between O TermTag
cytokine	NN	cytokine O TermTag
removal	NN	removal O TermTag
by	IN	by O TermTag
polymyxin	NN	polymyxin O TermTag
B	NN	b NN PennPOS
hemoperfusion	NN	hemoperfusion O TermTag
and	CC	and O TermTag
improved	VBD	improve O TermTag
pulmonary	JJ	pulmonary O TermTag
oxygenation	NN	oxygenation O TermTag
in	IN	in O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
acute	JJ	acute O TermTag
exacerbation	NN	exacerbation O TermTag
of	IN	of O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Acute	JJ	acute O TermTag
exacerbation	NN	exacerbation O TermTag
of	IN	of O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
AE-IPF	NN	AE-IPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
characterized	VBN	characterize O TermTag
by	IN	by O TermTag
severe	JJ	severe O TermTag
worsening	VBG	worsen O TermTag
dyspnea	NN	dyspnea O TermTag
of	IN	of O TermTag
unknown	JJ	unknown O TermTag
etiology	NN	etiology O TermTag
and	CC	and O TermTag
high	JJ	high O TermTag
mortality	NN	mortality O TermTag
without	IN	without O TermTag
effective	JJ	effective O TermTag
treatment	NN	treatment O TermTag
.	.	. . NUPOS

Recently	RB	recent O TermTag
,	,	, , NUPOS
direct	JJ	direct O TermTag
hemoperfusion	NN	hemoperfusion O TermTag
with	IN	with O TermTag
polymyxin	NN	polymyxin O TermTag
B	NN	b NN PennPOS
(	(	( ( NUPOS
PMX	NN	PMX O TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
immobilized	VBN	immobilize O TermTag
fiber	NN	fiber O TermTag
cartridge	NN	cartridge O TermTag
(	(	( ( NUPOS
PMX-DHP	NN	PMX-DHP O TermTag
)	)	) ) NUPOS
has	VBZ	have O TermTag
been	VBN	be O TermTag
reported	VBN	report O TermTag
to	TO	to O TermTag
improve	VB	improve O TermTag
pulmonary	JJ	pulmonary O TermTag
oxygenation	NN	oxygenation O TermTag
and	CC	and O TermTag
survival	NN	survival O TermTag
in	IN	in O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
AE-IPF	NN	AE-IPF O TermTag
although	IN	although O TermTag
its	PRP$	its O TermTag
mechanism	NN	mechanism O TermTag
of	IN	of O TermTag
action	NN	action O TermTag
remains	VBZ	remain O TermTag
unknown	JJ	unknown O TermTag
