[	(	[ ( NUPOS
Different	JJ	different O TermTag
cytokine	NN	cytokine O TermTag
profiles	NNS	profile O TermTag
in	IN	in O TermTag
usual	JJ	usual O TermTag
interstitial	JJ	interstitial O TermTag
pneumonia	NN	pneumonia O TermTag
and	CC	and O TermTag
nonspecific	JJ	nonspecific O TermTag
interstitial	JJ	interstitial O TermTag
pneumonia	NN	pneumonia O TermTag
]	)	] ) NUPOS
.	.	. . NUPOS

OBJECTIVE	NN	objective O TermTag
:	:	: : NUPOS
To	TO	to O TermTag
study	VB	study O TermTag
the	DT	the O TermTag
distribution	NN	distribution O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
expression	NN	expression O TermTag
and	CC	and O TermTag
the	DT	the O TermTag
significance	NN	significance O TermTag
of	IN	of O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
,	,	, , NUPOS
b-FGF	NN	b-FGF GENE TermTag
,	,	, , NUPOS
IL-8	NN	IL-8 GENE TermTag
,	,	, , NUPOS
IL-13	NN	IL-13 GENE TermTag
and	CC	and O TermTag
IFN-gamma	NN	IFN-gamma GENE TermTag
in	IN	in O TermTag
different	JJ	different O TermTag
lung	NN	lung O TermTag
tissue	NN	tissue O TermTag
compartments	NNS	compartment O TermTag
in	IN	in O TermTag
usual	JJ	usual O TermTag
interstitial	JJ	interstitial O TermTag
pneumonia/idiopathic	JJ	pneumonia/idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
UIP/IPF	NN	UIP/IPF O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
nonspecific	JJ	nonspecific O TermTag
interstitial	JJ	interstitial O TermTag
pneumonia	NN	pneumonia O TermTag
(	(	( ( NUPOS
NSIP	NN	NSIP O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
Specimens	NNS	specimen O TermTag
were	VBD	be O TermTag
obtained	VBN	obtain O TermTag
by	IN	by O TermTag
open	JJ	open O TermTag
or	CC	or O TermTag
video-assisted	JJ	video-assisted O TermTag
thoracoscopic	JJ	thoracoscopic O TermTag
lung	NN	lung O TermTag
biopsy	NN	biopsy O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
UIP	NN	UIP O TermTag
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
5	CD	5 crd NUPOS
)	)	) ) NUPOS
and	CC	and O TermTag
NSIP	NN	NSIP O TermTag
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
8	CD	8 crd NUPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Control	NNP	control O TermTag
specimens	NNS	specimen O TermTag
were	VBD	be O TermTag
obtained	VBN	obtain O TermTag
by	IN	by O TermTag
surgical	JJ	surgical O TermTag
lobectomy	NN	lobectomy O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
primary	JJ	primary O TermTag
lung	NN	lung O TermTag
cancer	NN	cancer O TermTag
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
5	CD	5 crd NUPOS
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the O TermTag
distribution	NN	distribution O TermTag
of	IN	of O TermTag
these	DT	these O TermTag
cytokines	NNS	cytokine O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
tissues	NNS	tissue O TermTag
was	VBD	be O TermTag
observed	VBN	observe O TermTag
by	IN	by O TermTag
semi-quantitative	JJ	semi-quantitative O TermTag
method	NN	method O TermTag
using	VBG	use O TermTag
immunohistochemical	JJ	immunohistochemical O TermTag
staining	NN	staining O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
TGF-beta	NN	TGF-beta GENE TermTag
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
,	,	, , NUPOS
IL-8	NN	IL-8 GENE TermTag
and	CC	and O TermTag
b-FGF	NN	b-FGF GENE TermTag
were	VBD	be O TermTag
localized	JJ	localized O TermTag
in	IN	in O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
alveolar	JJ	alveolar O TermTag
macrophages	NNS	macrophage O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
the	DT	the O TermTag
bronchial	JJ	bronchial O TermTag
epithelium	NN	epithelium O TermTag
.	.	. . NUPOS

Overall	JJ	overall O TermTag
intensity	NN	intensity O TermTag
of	IN	of O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
,	,	, , NUPOS
IL-8	NN	IL-8 GENE TermTag
and	CC	and O TermTag
b-FGF	NN	b-FGF GENE TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
UIP	NNP	UIP O TermTag
was	VBD	be O TermTag
stronger	JJR	strong O TermTag
in	IN	in O TermTag
comparison	NN	comparison O TermTag
with	IN	with O TermTag
NSIP	NN	NSIP O TermTag
.	.	. . NUPOS

IL-13	NN	IL-13 GENE TermTag
was	VBD	be O TermTag
distributed	VBN	distribute O TermTag
in	IN	in O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
alveolar	JJ	alveolar O TermTag
macrophages	NNS	macrophage O TermTag
and	CC	and O TermTag
interstitial	JJ	interstitial O TermTag
mononuclear	JJ	mononuclear O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

Its	PRP$	its O TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
UIP	NNP	UIP O TermTag
was	VBD	be O TermTag
similar	JJ	similar O TermTag
to	TO	to O TermTag
that	DT	that O TermTag
in	IN	in O TermTag
NSIP	NN	NSIP O TermTag
.	.	. . NUPOS

IFN-gamma	NN	IFN-gamma GENE TermTag
was	VBD	be O TermTag
expressed	VBN	express O TermTag
mainly	RB	main O TermTag
in	IN	in O TermTag
interstitial	JJ	interstitial O TermTag
mononuclear	JJ	mononuclear O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

Its	PRP$	its O TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
NSIP	NN	NSIP O TermTag
was	VBD	be O TermTag
stronger	JJR	strong O TermTag
than	IN	than O TermTag
that	DT	that O TermTag
in	IN	in O TermTag
UIP	NNP	UIP O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
ratio	NN	ratio O TermTag
of	IN	of O TermTag
IL-13	NN	IL-13 GENE TermTag
to	TO	to O TermTag
IFN-gamma	NN	IFN-gamma GENE TermTag
in	IN	in O TermTag
UIP	NNP	UIP O TermTag
(	(	( ( NUPOS
2.18	CD	2.18 O TermTag
+	CC	+ CC PennPOS
/	:	/ : NUPOS
-	:	- : NUPOS
0.76	CD	0.76 O TermTag
)	)	) ) NUPOS
was	VBD	be O TermTag
significantly	RB	significant O TermTag
higher	JJR	high O TermTag
than	IN	than O TermTag
that	DT	that O TermTag
in	IN	in O TermTag
NSIP	NN	NSIP O TermTag
(	(	( ( NUPOS
0.95	CD	0.95 O TermTag
+	CC	+ CC PennPOS
/	:	/ : NUPOS
-	:	- : NUPOS
