Elevated	JJ	elevated O TermTag
sL1-CAM	NN	sL1-CAM O TermTag
levels	NNS	level O TermTag
in	IN	in O TermTag
BALF	NN	BALF O TermTag
and	CC	and O TermTag
serum	NN	serum O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
patients	NNS	patient O TermTag
.	.	. . NUPOS

BACKGROUND	NN	background O TermTag
AND	CC	and O TermTag
OBJECTIVE	NN	objective O TermTag
:	:	: : NUPOS
IPF	NN	IPF O TermTag
is	VBZ	be O TermTag
a	DT	a dt NUPOS
form	NN	form O TermTag
of	IN	of O TermTag
interstitial	JJ	interstitial O TermTag
pneumonia	NN	pneumonia O TermTag
of	IN	of O TermTag
unknown	JJ	unknown O TermTag
origin	NN	origin O TermTag
that	WDT	that O TermTag
has	VBZ	have O TermTag
a	DT	a dt NUPOS
poor	JJ	poor O TermTag
prognosis	NN	prognosis O TermTag
for	IN	for O TermTag
which	WDT	which O TermTag
current	JJ	current O TermTag
treatments	NNS	treatment O TermTag
are	VBP	be O TermTag
limited	VBN	limit O TermTag
.	.	. . NUPOS

Recent	JJ	recent O TermTag
studies	NNS	study O TermTag
have	VBP	have O TermTag
shown	VBN	show O TermTag
that	IN	that O TermTag
EMT	NN	emt GENE TermTag
plays	VBZ	play O TermTag
a	DT	a dt NUPOS
role	NN	role O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
tumour	NN	tumour O TermTag
metastasis	NN	metastasis O TermTag
.	.	. . NUPOS

L1-CAM	NN	L1-CAM O TermTag
has	VBZ	have O TermTag
also	RB	also O TermTag
been	VBN	be O TermTag
linked	VBN	link O TermTag
to	TO	to O TermTag
EMT	NNP	emt GENE TermTag
during	IN	during O TermTag
tumour	NN	tumour O TermTag
development	NN	development O TermTag
and	CC	and O TermTag
tumour	NN	tumour O TermTag
metastasis	NN	metastasis O TermTag
.	.	. . NUPOS

Our	PRP$	our O TermTag
aim	NN	aim O TermTag
was	VBD	be O TermTag
to	TO	to O TermTag
determine	VB	determine O TermTag
prospectively	RB	prospective O TermTag
the	DT	the O TermTag
level	NN	level O TermTag
of	IN	of O TermTag
L1-CAM	NN	L1-CAM O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
patients	NNS	patient O TermTag
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
Forty	CD	forty O TermTag
consecutive	JJ	consecutive O TermTag
Chinese	JJ	chinese O TermTag
patients	NNS	patient O TermTag
(	(	( ( NUPOS
with	IN	with O TermTag
IPF	NN	IPF O TermTag
,	,	, , NUPOS
16	CD	16 O TermTag
;	:	; : NUPOS
LC	NNP	lc O TermTag
,	,	, , NUPOS
12	CD	12 O TermTag
;	:	; : NUPOS
and	CC	and O TermTag
CC	NN	cc O TermTag
,	,	, , NUPOS
12	CD	12 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
but	CC	but O TermTag
no	DT	no O TermTag
apparent	JJ	apparent O TermTag
lung	NN	lung O TermTag
or	CC	or O TermTag
other	JJ	other O TermTag
organ	NN	organ O TermTag
's	POS	's O TermTag
diseases	NNS	disease O TermTag
were	VBD	be O TermTag
enrolled	VBN	enrol O TermTag
.	.	. . NUPOS

Soluble	JJ	soluble O TermTag
L1-CAM	NN	L1-CAM O TermTag
(	(	( ( NUPOS
sL1-CAM	NN	sL1-CAM O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
TGF-b1	NN	TGF-b1 GENE TermTag
,	,	, , NUPOS
PDGF	NN	PDGF O TermTag
,	,	, , NUPOS
y-INF	NN	y-INF O TermTag
levels	NNS	level O TermTag
in	IN	in O TermTag
BALF	NN	BALF O TermTag
and	CC	and O TermTag
serum	NN	serum O TermTag
sL1-CAM	NN	sL1-CAM O TermTag
were	VBD	be O TermTag
measured	VBN	measure O TermTag
using	VBG	use O TermTag
ELISA	NN	elisa O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
BALF	NN	BALF O TermTag
sL1-CAM	NN	sL1-CAM O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
,	,	, , NUPOS
LC	NN	lc O TermTag
and	CC	and O TermTag
CC	NN	cc O TermTag
patients	NNS	patient O TermTag
were	VBD	be O TermTag
10.87	CD	10.87 O TermTag
0.88	CD	0.88 O TermTag
ng/mL	NN	ng/mL O TermTag
,	,	, , NUPOS
6.34	CD	6.34 O TermTag
0.67	CD	0.67 O TermTag
ng/mL	NN	ng/mL O TermTag
and	CC	and O TermTag
5.43	CD	5.43 O TermTag
0.65	CD	0.65 O TermTag
ng/mL	NN	ng/mL O TermTag
,	,	, , NUPOS
respectively	RB	respective O TermTag
.	.	. . NUPOS

BALF	NN	BALF O TermTag
sL1-CAM	NN	sL1-CAM O TermTag
concentration	NN	concentration O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
patients	NNS	patient O TermTag
was	VBD	be O TermTag
significantly	RB	significant O TermTag
higher	JJR	high O TermTag
than	IN	than O TermTag
that	DT	that O TermTag
in	IN	in O TermTag
LC	NN	lc O TermTag
and	CC	and O TermTag
in	IN	in O TermTag
CC	NN	cc O TermTag
