Overproduction	NN	overproduction O TermTag
of	IN	of O TermTag
collagen	NN	collagen O TermTag
and	CC	and O TermTag
diminished	VBD	diminish O TermTag
SOCS1	NN	SOCS1 GENE TermTag
expression	NN	expression O TermTag
are	VBP	be O TermTag
causally	RB	causal O TermTag
linked	VBN	link O TermTag
in	IN	in O TermTag
fibroblasts	NNS	fibroblast O TermTag
from	IN	from O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
chronic	JJ	chronic O TermTag
,	,	, , NUPOS
progressive	JJ	progressive O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
often	RB	often O TermTag
fatal	JJ	fatal O TermTag
pulmonary	JJ	pulmonary O TermTag
disorder	NN	disorder O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
its	PRP$	its O TermTag
pathology	NN	pathology O TermTag
is	VBZ	be O TermTag
characterized	VBN	characterize O TermTag
by	IN	by O TermTag
parenchymal	JJ	parenchymal O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

To	TO	to O TermTag
investigate	VB	investigate O TermTag
the	DT	the O TermTag
characteristics	NNS	characteristic O TermTag
of	IN	of O TermTag
fibroblasts	NNS	fibroblast O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
obtained	VBD	obtain O TermTag
eight	CD	eight O TermTag
fibroblast	NN	fibroblast O TermTag
cell	NN	cell O TermTag
lines	NNS	line O TermTag
from	IN	from O TermTag
lungs	NNS	lung O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
eight	CD	eight O TermTag
lines	NNS	line O TermTag
from	IN	from O TermTag
normal	JJ	normal O TermTag
lungs	NNS	lung O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
found	VBD	find O TermTag
that	IN	that O TermTag
the	DT	the O TermTag
fibroblasts	NNS	fibroblast O TermTag
from	IN	from O TermTag
IPF	NN	IPF O TermTag
spontaneously	RB	spontaneous O TermTag
produced	VBD	produce O TermTag
higher	JJR	high O TermTag
amounts	NNS	amount O TermTag
of	IN	of O TermTag
type	NN	type O TermTag
I	CD	i crd NUPOS
collagen	NN	collagen O TermTag
and	CC	and O TermTag
had	VBD	have O TermTag
lower	JJR	low O TermTag
expression	NN	expression O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
SOCS1	NN	SOCS1 GENE TermTag
than	IN	than O TermTag
fibroblasts	NNS	fibroblast O TermTag
from	IN	from O TermTag
normal	JJ	normal O TermTag
lung	NN	lung O TermTag
.	.	. . NUPOS

By	IN	by O TermTag
using	VBG	use O TermTag
mouse	NN	mouse O TermTag
fibroblasts	NNS	fibroblast O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
demonstrated	VBD	demonstrate O TermTag
the	DT	the O TermTag
causal	JJ	causal O TermTag
relationship	NN	relationship O TermTag
between	IN	between O TermTag
them	PRP	they O TermTag
:	:	: : NUPOS
the	DT	the O TermTag
deficiency	NN	deficiency O TermTag
of	IN	of O TermTag
SOCS1	NN	SOCS1 GENE TermTag
in	IN	in O TermTag
fibroblasts	NNS	fibroblast O TermTag
resulted	VBD	result O TermTag
in	IN	in O TermTag
increased	VBN	increase O TermTag
collagen	NN	collagen O TermTag
production	NN	production O TermTag
,	,	, , NUPOS
whereas	IN	whereas O TermTag
overexpression	NN	overexpression O TermTag
of	IN	of O TermTag
SOCS1	NN	SOCS1 GENE TermTag
suppressed	VBD	suppress O TermTag
collagen	NN	collagen O TermTag
