Ubiquitin	NNP
carboxyl-terminal	JJ
hydrolase-L5	NN
promotes	VBZ
TGFb-1	NN
signaling	NN
by	IN
de-ubiquitinating	JJ
and	CC
stabilizing	VBG
Smad2/Smad3	NN
in	IN
pulmonary	JJ
fibrosis	NN
.	.

Transforming-growth-factor-b-1	NN
(	(
TGFb-1	NN
)	)
-	:
induced	VBN
phosphorylation	NN
of	IN
transcription	NN
factors	NNS
Smad2	NN
and	CC
Smad3	NN
plays	VBZ
a	DT
crucial	JJ
role	NN
in	IN
the	DT
pathogenesis	NN
of	IN
idiopathic	JJ
pulmonary	JJ
fibrosis	NN
(	(
IPF	NN
)	)
.	.

However	RB
,	,
the	DT
molecular	JJ
regulation	NN
of	IN
Smad2/Smad3	NN
proteins	NNS
stability	NN
remains	VBZ
a	DT
mystery	NN
.	.

Here	RB
,	,
we	PRP
show	VBP
that	IN
ubiquitin	NN
carboxyl-terminal	JJ
hydrolase-L5	NN
(	(
UCHL5	NN
or	CC
UCH37	NN
)	)
de-ubiquitinates	VBZ
both	DT
Smad2	NN
and	CC
Smad3	NN
,	,
up-regulates	VBZ
their	PRP$
stability	NN
,	,
and	CC
promotes	VBZ
TGFb-1-induced	JJ
expression	NN
of	IN
profibrotic	JJ
proteins	NNS
,	,
such	JJ
as	IN
fibronectin	NN
(	(
FN	NN
)	)
and	CC
a-smooth-muscle-actin	NN
(	(
a-SMA	NN
)	)
.	.

Inhibition	NN
or	CC
down-regulation	NN
of	IN
UCHL5	NN
reduced	VBD
Smad2/Smad3	NN
levels	NNS
and	CC
TGFb-1-induced	JJ
the	DT
expression	NN
of	IN
FN	NN
and	CC
a-SMA	NN
in	IN
human	JJ
lung	NN
fibroblast	NN
.	.

We	PRP
demonstrate	VBP
that	IN
Smad2	NN
and	CC
Smad3	NN
ubiquitination	NN
was	VBD
diminished	VBN
by	IN
over-expression	NN
of	IN
UCHL5	NN
,	,
while	IN
it	PRP
was	VBD
enhanced	VBN
by	IN
inhibition	NN
or	CC
down-regulation	NN
of	IN
UCHL5	NN
.	.

UCHL5	NN
is	VBZ
highly	RB
expressed	VBN
in	IN
IPF	NN
lungs	NNS
.	.

UCHL5	NN
,	,
Smad2	NN
,	,
and	CC
Smad3	NN
levels	NNS
were	VBD
increased	VBN
in	IN
bleomycin-injured	JJ
lungs	NNS
.	.

Administration	NN
of	IN
UCHL5	NN
inhibitor	NN
,	,
b-AP15	NN
,	,
reduced	VBD
the	DT
expression	NN
of	IN
FN	NN
,	,
type	NN
I	CD
collagen	NN
,	,
Smad2/Smad3	NN
,	,
and	CC
the	DT
deposition	NN
of	IN
collagen	NN
in	IN
lung	NN
tissues	NNS
in	IN
a	DT
bleomycin-induced	JJ
model	NN
of	IN
pulmonary	JJ
fibrosis	NN
.	.

Our	PRP$
studies	NNS
provide	VBP
a	DT
molecular	JJ
mechanism	NN
by	IN
which	WDT
UCHL5	NN
mitigates	VBZ
TGFb-1	NN
signaling	NN
by	IN
stabilizing	VBG
Smad2/Smad3	NN
.	.

These	DT
data	NNS
indicate	VBP
that	IN
UCHL5	NN
may	MD
contribute	VB
to	TO
the	DT
pathogenesis	NN
of	IN
IPF	NN
and	CC
may	MD
be	VB
a	DT
potential	JJ
therapeutic	JJ
target	NN
.	.

